HIGGINS & RUTLEDGE INSURANCE, INC.  820303178 -- BusinessCode: 524210 -- ID : BOISE
  [401(k)] HIGGINS & RUTLEDGE INSURANCE, INC. PROFIT SHARING 401K PLAN [820303178-001]
    2022  [codes: 2E2J2K3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/2/13/20230213180451NAL0033271681001.pdf
        Participants: 35
        Available Investments:
           - JOHN HANCOCK, USA
                 : 500 INDEX FUND  [010233346-000] P  $140,883
                 : AB HIGH INCOME FUND  [010233346-000] P  $10,739
                 : AF AMERICAN BALANCED FUND  [010233346-000] P  $127,984
                 : AF CAPITAL INCOME BUILDER  [010233346-000] P  $3,883
                 : AF THE GROWTH FUND OF AMERICA  [010233346-000] P  $12,730
                 : AF US GOVERNMENT SECURITIES  [010233346-000] P  $33,642
                 : ALLSPRING GOVERNEMENT SECURITIE  [010233346-000] P  $205
                 : AMERICAN CENTURY INFL ADJ BOND  [010233346-000] P  $778,221
                 : AMERICAN FUNDS 2050 TD  [010233346-000] P  $4,428
                 : AMERICAN FUNDS 2060 TD  [010233346-000] P  $35,556
                 : AMERICAN FUNDS AMCAP FUND  [010233346-000] P  $24,718
                 : BARON REAL ESTATE FUND  [010233346-000] P  $151,687
                 : BLACKROCK HEALTH SCIENCES OPP  [010233346-000] P  $5,932
                 : BLACKROCK HIGH YIELD BOND FUND  [010233346-000] P  $4,029
                 : BLACKROCK INFL PROTECTED BOND  [010233346-000] P  $54,031
                 : CAPITAL WORLD GROWTH & INCOME  [010233346-000] P  $271
                 : COHEN & STEERS REAL ESTATE  [010233346-000] P  $127,562
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $34,082
                 : DFA INFLATION-PROTECTED SEC  [010233346-000] P  $8,301
                 : FIDELITY ADVISOR ENERGY FUND  [010233346-000] P  $225,424
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $20,702
                 : FIDELITY REAL ESTATE INDEX  [010233346-000] P  $3,985
                 : FRANKLIN GLOBAL ALLOCATION  [010233346-000] P  $8,388
                 : HARBOR SMALL CAP VALUE FUND  [010233346-000] P  $6,666
                 : HARTFORD EQUITY INCOME FUND  [010233346-000] P  $7,833
                 : HARTFORD INFLATION PLUS FUND  [010233346-000] P  $6,396
                 : HIGH YIELD FUND  [010233346-000] P  $9,054
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $21,099
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $18,975
                 : ISHARES GOLD TRUST ETF  [010233346-000] P  $120,661
                 : JANUS HENDERSON FORTY FUND  [010233346-000] P  $15,937
                 : JANUS HENDERSON GBL LIFE SCI  [010233346-000] P  $10,642
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $23,009
                 : MFS TOTAL RETURN FUND  [010233346-000] P  $16,744
                 : MID CAP INDEX FUND  [010233346-000] P  $7,435
                 : PGIM JENNISON SMALL COMPANY  [010233346-000] P  $2,103
                 : PIMCO COMMODITY REAL RETURN  [010233346-000] P  $152,248
                 : PIMCO REAL RETURN  [010233346-000] P  $4,158
                 : RELIANCE METLIFE STABLE VALUE  [010233346-000] P  $661,966
                 : SPROTT GOLD EQUITY FUND  [010233346-000] P  $89,515
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $732
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $101,297
                 : TEMPLETON WORLD  [010233346-000] P  $5,354
                 : TIAA-CREF SMALL-CAP BLEND IDX  [010233346-000] P  $10,536
                 : VANGUARD ENERGY FUND  [010233346-000] P  $41,870
                 : VANGUARD GROWTH INDEX FUND  [010233346-000] P  $3,137
                 : VANGUARD HIGH DIVIDEND YLD IDX  [010233346-000] P  $96,869
                 : VANGUARD INTERM-TERM BOND IDX  [010233346-000] P  $40,404
                 : VANGUARD MATERIALS INDEX FUND  [010233346-000] P  $12,887
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $14,383
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $5,249
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $2,082
                 : VANGUARD STRATEGIC EQUITY FUND  [010233346-000] P  $12,601
                 : VANGUARD TARGET RET 2020  [010233346-000] P  $3,962
                 : VANGUARD TARGET RET 2030  [010233346-000] P  $189,044
                 : VANGUARD TARGET RET 2035  [010233346-000] P  $99,893
                 : VANGUARD TARGET RET 2040  [010233346-000] P  $3,513
                 : VANGUARD TARGET RET 2045  [010233346-000] P  $23,893
                 : VANGUARD TARGET RET 2065  [010233346-000] P  $5,843
                 : VANGUARD TARGET RET INCOME  [010233346-000] P  $134,625
                 : VANGUARD TOTAL BOND MARKET IDX  [010233346-000] P  $9,804
                 : VANGUARD TOTAL INTL BOND INDEX  [010233346-000] P  $7,471
                 : WISDOMTREE MIDCAP DIVIDEND ETF  [010233346-000] P  $378
           = SUBTOTAL       $      3,817,651
           = OTHER          $     -3,817,651
