ZUND AMERICA, INC.  510506512 -- BusinessCode: 423800 -- WI : OAK CREEK
  [401(k)] ZUND AMERICA, INC. 401(K) PLAN & TRUST [510506512-001]
    2019  [codes: 2A2E2J2K2F2G3D2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/3/30/20200330082500NAL0005845008001.pdf
        Participants: 64
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $175,370
                 : AMERICAN BALANCED FUND  [010233346-000] P  $103,129
                 : BAIRD MIDCAP FUND  [010233346-000] P  $14,069
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $3,276
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $39,002
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $622
                 : DODGE & COX STOCK FUND  [010233346-000] P  $1,346
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $1,347
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $14,376
                 : FUNDAMENTAL INVESTORS  [010233346-000] P  $33,177
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $15,010
                 : ISHARES GOLD TRUST ETF  [010233346-000] P  $683
                 : JH MULTI-INDEX 2035 LIFETIME  [010233346-000] P  $5,972
                 : JH MULTI-INDEX 2040 LIFETIME  [010233346-000] P  $33,419
                 : JH MULTI-INDEX 2050 LIFETIME  [010233346-000] P  $20,541
                 : JH MULTI-INDEX LS BALANCED  [010233346-000] P  $85,276
                 : JH MULTI-INDEX LS GROWTH  [010233346-000] P  $79,059
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $62,729
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $403,198
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $890,310
                 : JPMORGAN CORE BOND FUND  [010233346-000] P  $21,110
                 : JPMORGAN INTREPID MID CAP  [010233346-000] P  $1,326
                 : JPMORGAN LARGE CAP GROWTH  [010233346-000] P  $1,411
                 : NEW PERSPECTIVE FUND  [010233346-000] P  $33,479
                 : PARNASSUS CORE EQUITY FUND  [010233346-000] P  $50,944
                 : TEMPLETON GLOBAL BOND FUND  [010233346-000] P  $1,199
                 : U.S. HIGH YIELD BOND FUND  [010233346-000] P  $1,920
                 : VANGUARD GROWTH INDEX FUND  [010233346-000] P  $11,751
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $13,791
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $1,339
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $668
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $648
                 : VANGUARD VALUE INDEX FUND  [010233346-000] P  $2,031
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $33,062
                 : WISDOMTREE MC EARNINGS ETF  [010233346-000] P  $29,466
           = SUBTOTAL       $      2,186,056
           = OTHER          $     -2,186,056
