PATS SERVICES, INC.  391917133 -- BusinessCode: 562000 -- WI : BURLINGTON
  [401(k)] PATS SERVICES, INC. SAVINGS & RETIREMENT PLAN [391917133-001]
    2019  [codes: 2E2J2K2F2G3D2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/5/19/20200519151312NAL0002044208001.pdf
        Participants: 62
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $150,230
                 : AMERICAN BALANCED FUND  [010233346-000] P  $306,742
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $14,333
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $77,613
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $75,480
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $6,176
                 : CAPITAL INCOME BUILDER  [010233346-000] P  $7,016
                 : CAPITAL WORLD BOND FUND  [010233346-000] P  $4,864
                 : CAPITAL WORLD GROWTH & INCOME  [010233346-000] P  $29,801
                 : CORE BOND FUND  [010233346-000] P  $16,826
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $60,944
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $23,962
                 : EQUITY INCOME FUND  [010233346-000] P  $30,774
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $24,886
                 : FIDELITY ADV NEW INSIGHTS  [010233346-000] P  $12,193
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $78,387
                 : FIDELITY CONTRAFUND  [010233346-000] P  $558,825
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $28,880
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $27,142
                 : FUNDAMENTAL ALL CAP CORE FUND  [010233346-000] P  $29,111
                 : FUNDAMENTAL INVESTORS  [010233346-000] P  $156,347
                 : FUNDAMENTAL LARGE CAP VALUE  [010233346-000] P  $59,776
                 : HIGH YIELD FUND  [010233346-000] P  $1,911
                 : INCOME FUND OF AMERICA  [010233346-000] P  $36,479
                 : INVESCO OPPENHEIMER GLOBAL  [010233346-000] P  $132,495
                 : INVESCO OPPENHEIMER INT'L BOND  [010233346-000] P  $9,421
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $1,428
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $106,115
                 : IVY ASSET STRATEGY FUND  [010233346-000] P  $13,346
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $22,694
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $60,282
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $12,100
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $8,302
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $44,511
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $17,216
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $54,513
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $40,605
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $212,672
                 : JOHN HANCOCK US QUALITY GROWTH  [010233346-000] P  $1,363
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $39,452
                 : MFS MASSACHUSETTS INVESTORS  [010233346-000] P  $57,276
                 : MFS UTILITIES FUND  [010233346-000] P  $245,523
                 : MID CAP INDEX FUND  [010233346-000] P  $32,820
                 : MID CAP STOCK FUND  [010233346-000] P  $29,765
                 : MID VALUE FUND  [010233346-000] P  $9,465
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $102,228
                 : NEW PERSPECTIVE FUND  [010233346-000] P  $58,119
                 : NEW WORLD FUND  [010233346-000] P  $14,560
                 : PIMCO ALL ASSET  [010233346-000] P  $21,250
                 : PIMCO GLOBAL BOND OPPS FUND  [010233346-000] P  $24,127
                 : PIMCO REAL RETURN  [010233346-000] P  $37,116
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $16,643
                 : ROYCE OPPORTUNITY  [010233346-000] P  $16,409
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $16,174
                 : SMALLCAP WORLD FUND  [010233346-000] P  $7,004
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $248,928
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $40,472
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $98,358
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $3,571
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $14,936
                 : TEMPLETON WORLD  [010233346-000] P  $74,357
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $135,693
                 : TOCQUEVILLE GOLD FUND  [010233346-000] P  $63,923
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $40,448
                 : U.S. HIGH YIELD BOND FUND  [010233346-000] P  $5,713
                 : VANGUARD ENERGY FUND  [010233346-000] P  $79,831
                 : VANGUARD GROWTH INDEX FUND  [010233346-000] P  $30,663
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $1,529
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $36
                 : VANGUARD SHORT-TERM FEDERAL  [010233346-000] P  $18,031
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $19,270
                 : VANGUARD VALUE INDEX FUND  [010233346-000] P  $43,638
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $1,456
           = SUBTOTAL       $      4,204,545
           = OTHER          $     -4,204,545
