PEPSICO, INC.  131584302 -- BusinessCode: 311400 -- NY : PURCHASE
  [Pension] PEPSICO EMPLOYEES RETIREMENT PLAN I [131584302-004]
    2022  [codes: 1A1B1C1E3H3J1I]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/10/2/20231002151927NAL0023386288001.pdf
        Participants: 66,886  Average: $114,477
        Assets: $7,656,963,000
        Service Providers:
           - FIDELITY INSTI ASSET MGMT : $4,822,354   (Investment management fees paid directly by plan)
           - NISA : $1,317,219   (Investment management fees paid directly by plan)
           - NORTHERN TRUST COMPANY : $1,266,643   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - STATE STREET : $1,251,503   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $1,249,903   (Actuarial)
           - MFS INSTITUTIONAL ADVISORS : $1,243,449   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MARATHON ASSET MANAGEMENT : $1,058,152   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - DODGE AND COX : $866,919   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - ALTRINSIC GLOBAL ADVISORS : $710,987   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN INVESTMENT MANAGEMENT : $710,863   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $645,557   (Actuarial)
           - PEPSICO, INC. : $638,737  EMPLOYER (Plan Administrator)
           - WILLIAM BLAIR & CO : $602,415   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - LOOMIS SAYLES : $601,546   (Investment management fees paid directly by plan)
           - JENNISON ASSOCIATES LLC : $575,571   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $524,346   (Investment management fees paid directly by plan)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $499,353   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN CHASE BANK : $452,622   (Trustee(bank, trust company, or similar))
           - PGIM INC : $446,675   (Investment management fees paid directly by plan)
           - BLACKROCK INSTITUTIONAL ADVISORS : $392,356   (Investment management fees paid directly by plan)
           - ARIEL CAPITAL : $270,522   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - RUSSELL IMPLEMENTATION SERVICES : $189,004   (Investment management | Securities brokerage commissions and fees)
           - PRUDENTIAL BANK & TRUST COMPANY : $170,881   (Investment management)
           - DIMENSIONAL FUND ADVISORS : $165,486   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $158,243   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - VONTOBEL USA INC : $155,458   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $133,282   (Consulting(general))
           - TOWERS WATSON INVESTMENT SERVICES : $131,787   (Consulting(pension))
           - KPMG, LLP : $122,402   (Accounting(including auditing))
           - WILLIS TOWERS WATSON : $105,912   (Actuarial)
           - PAYDEN & RYGEL : $85,304   (Investment management fees paid directly by plan)
           - PUGH CAPITAL MGMT INC : $70,604   (Investment management fees paid directly by plan)
           - METROPOLITAN LIFE INSURANCE : $44,468   (Insurance services)
           - JOHN HANCOCK MUTUAL LIFE INS CO : $34,641   (Insurance services)
           - KILPATRICK STOCKTON : $30,990   (Legal)
           - BANCO POPULAR : $30,106   (Recordkeeper | Trustee(bank, trust company, or similar))
           - ACOSTA & RAMIREZ : $15,613   (Legal)
           - THOMPSON COBURN LLP : $7,683   (Legal)
           = TOTAL FEES: $21,799,556 (or $325 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $7,622,334,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
