SUPPORT SOLUTIONS OF THE MID-SOUTH, LLC  680612293 -- BusinessCode: 624100 -- TN : MEMPHIS
  [401(k)] SUPPORT SOLUTIONS 401(K) PLAN [680612293-001]
    2022  [codes: 2E2F2G2J2K2T3B3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/10/16/20231016081237NAL0037806945001.pdf
        Participants: 1,102  Average: $1,765
        Assets: $1,945,089
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $121,983
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $292
                 : CARILLON EAGLE MID CAP GROWTH  [010233346-000] P  $3,165
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $3,063
                 : DFA US TARGETED VALUE FUND  [010233346-000] P  $24,625
                 : FIDELITY ADV NEW INSIGHTS  [010233346-000] P  $38,372
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $12,891
                 : JH LIFETIME BLEND 2010 CIT  [010233346-000] P  $9,889
                 : JH LIFETIME BLEND 2015 CIT  [010233346-000] P  $12,205
                 : JH LIFETIME BLEND 2020 CIT  [010233346-000] P  $1,143
                 : JH LIFETIME BLEND 2025 CIT  [010233346-000] P  $114,376
                 : JH LIFETIME BLEND 2030 CIT  [010233346-000] P  $64,826
                 : JH LIFETIME BLEND 2035 CIT  [010233346-000] P  $69,978
                 : JH LIFETIME BLEND 2040 CIT  [010233346-000] P  $268,237
                 : JH LIFETIME BLEND 2045 CIT  [010233346-000] P  $99,674
                 : JH LIFETIME BLEND 2050 CIT  [010233346-000] P  $60,360
                 : JH LIFETIME BLEND 2055 CIT  [010233346-000] P  $28,306
                 : JH LIFETIME BLEND 2060 CIT  [010233346-000] P  $82,311
                 : JH LIFETIME BLEND 2065 CIT  [010233346-000] P  $22,873
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $68,534
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $73,096
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $176,321
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $284,898
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $31,112
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $8,300
                 : MID CAP INDEX FUND  [010233346-000] P  $2,404
                 : MONEY MARKET FUND  [010233346-000] P  $30,198
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $2,394
                 : SMALL CAP STOCK FUND  [010233346-000] P  $1,575
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $100,351
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $20,079
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $988
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $23,902
                 : VANGUARD SHORT-TERM FEDERAL  [010233346-000] P  $3,954
           = SUBTOTAL       $      1,866,675
           = OTHER          $         78,414
