SPEE-DEE PACKAGING MACHINERY, INC.  391372099 -- BusinessCode: 541990 -- WI : STURTEVANT
  [401(k)] SPEE-DEE/SSE 401(K) PROFIT SHARING PLAN [391372099-001]
    2019  [codes: 2E2J2K2F2G2R3D2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/5/22/20200522155658NAL0004126019001.pdf
        Participants: 72
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $152,004
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $108,249
                 : CAPITAL INCOME BUILDER  [010233346-000] P  $9,194
                 : CAPITAL WORLD GROWTH & INCOME  [010233346-000] P  $38,831
                 : DFA INFLATION-PROTECTED SEC  [010233346-000] P  $0
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $3,106
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $149,145
                 : DFA US TARGETED VALUE FUND  [010233346-000] P  $86,204
                 : DODGE & COX INTERNATIONAL ST  [010233346-000] P  $0
                 : DODGE & COX STOCK FUND  [010233346-000] P  $115,637
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $50,622
                 : FEDERATED HIGH YIELD BOND  [010233346-000] P  $122,855
                 : FIDELITY ADV LEVERAGED CO STK  [010233346-000] P  $0
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $77,347
                 : FIDELITY CONTRAFUND  [010233346-000] P  $58,385
                 : FLOATING RATE INCOME FUND  [010233346-000] P  $0
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $0
                 : FUNDAMENTAL ALL CAP CORE FUND  [010233346-000] P  $0
                 : FUNDAMENTAL INVESTORS  [010233346-000] P  $21,271
                 : FUNDAMENTAL LARGE CAP VALUE  [010233346-000] P  $0
                 : HIGH YIELD FUND  [010233346-000] P  $0
                 : INTERNATIONAL VALUE FUND  [010233346-000] P  $0
                 : INVESCO OPP DEVELOPING MKT  [010233346-000] P  $10,691
                 : INVESCO OPP INTL GROWTH FUND  [010233346-000] P  $0
                 : INVESCO OPPENHEIMER GLOBAL  [010233346-000] P  $0
                 : INVESCO OPPENHEIMER INT'L BOND  [010233346-000] P  $0
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $41,468
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $31,563
                 : JH MULTIMANAGER 2015 LIFETIME  [010233346-000] P  $35,635
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $24,193
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $21,114
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $31,312
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $72,340
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $3,920
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $26,735
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $104,890
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $169,966
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $428,726
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $549,000
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $184,974
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $0
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $21,012
                 : JOHN HANCOCK INTL GROWTH  [010233346-000] P  $51,848
                 : JPMORGAN MIDCAP VALUE FUND  [010233346-000] P  $68,617
