WARD'S MARINE ELECTRIC, INC.  590872988 -- BusinessCode: 812990 -- FL : FORT LAUDERDALE
  [401(k)] WARD'S MARINE ELECTRIC, INC. PROFIT SHARING PLAN [590872988-001]
    2019  [codes: 2E2F2G2J2K3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/7/17/20200717100200NAL0021212449007.pdf
        Participants: 57
        Available Investments:
           - JOHN HANCOCK
                 : 10 YEAR COMP  [010233346-000] P  $98,512
                 : AF AM BAL  [010233346-000] P  $97,122
                 : BRGLBALL  [010233346-000] P  $1,762
                 : DEVELOPING MARKET  [010233346-000] P  $11,344
                 : DISCIPVAL  [010233346-000] P  $3,422
                 : DISCOVERY  [010233346-000] P  $6,192
                 : EUROPAC  [010233346-000] P  $16,702
                 : FID TOTAL  [010233346-000] P  $8,553
                 : FUN ALLCP  [010233346-000] P  $6,949
                 : FUND LCV  [010233346-000] P  $22,851
                 : GLOBAL  [010233346-000] P  $7,037
                 : GLOBAL BOND  [010233346-000] P  $3,307
                 : GROWTH  [010233346-000] P  $16,511
                 : HEALTH SCI  [010233346-000] P  $23,832
                 : IDX 500  [010233346-000] P  $30,766
                 : IDX MID  [010233346-000] P  $1,467
                 : IDX SMALL  [010233346-000] P  $994
                 : IDX TOTAL  [010233346-000] P  $2,509
                 : JPM MCVALU  [010233346-000] P  $2,488
                 : JPM USE  [010233346-000] P  $19,791
                 : LOANS  [010233346-000] P  $35,414
                 : LS MODERATE  [010233346-000] P  $10,967
                 : LS-AGGRESSIVE  [010233346-000] P  $32,073
                 : LS-BALANCE  [010233346-000] P  $2,129,138
                 : LS-CONSERVATIVE  [010233346-000] P  $12,657
                 : LS-GROWTH  [010233346-000] P  $621,457
                 : NEW OPPS  [010233346-000] P  $6,454
                 : SCI TECH  [010233346-000] P  $144,517
                 : SM-MD GRTH  [010233346-000] P  $33,772
                 : SMCP GR IN  [010233346-000] P  $32,861
                 : STABLE VALUE  [010233346-000] P  $200
                 : TRP EQ INC  [010233346-000] P  $1,589
                 : VS BLUCP  [010233346-000] P  $258,620
                 : VS HIYLD  [010233346-000] P  $3,727
                 : VS IT VL  [010233346-000] P  $7,898
                 : VS MC ST  [010233346-000] P  $17,393
                 : VS RESTS  [010233346-000] P  $7,568
                 : VS SCTEC  [010233346-000] P  $8,100
                 : VS SML VAL  [010233346-000] P  $2,613
                 : VS UTILITY  [010233346-000] P  $3,355
           = SUBTOTAL       $      3,752,484
           = OTHER          $     -3,752,484
