WADDELL-WOJCIK TRUCKING, INC.  391657166 -- BusinessCode: 484110 -- WI : DARIEN
  [401(k)] WW TRUCKING, INC. 401(K) PLAN [391657166-001]
    2019  [codes: 2E2J2K2F2G3D3H2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/15/20201015075138NAL0004786115001.pdf
        Participants: 94
        Available Investments:
           - JOHN HANCOCK USA
                 : AMERICAN CENTURY 2020  [010233346-000] P  $44,237
                 : AMERICAN CENTURY 2025  [010233346-000] P  $1,843
                 : AMERICAN CENTURY 2030  [010233346-000] P  $12,621
                 : AMERICAN CENTURY 2035  [010233346-000] P  $11,628
                 : AMERICAN CENTURY 2045  [010233346-000] P  $305
                 : AMERICAN CENTURY 2050  [010233346-000] P  $279
                 : AMERICAN CENTURY 2055  [010233346-000] P  $64,362
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $289,610
                 : CAPITAL WORLD GROWTH & INCOME  [010233346-000] P  $21,354
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $13,169
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $5,895
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $34,545
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $127,216
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $218,144
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $62,376
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $251,088
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $354,309
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $36,688
                 : MID CAP INDEX FUND  [010233346-000] P  $190,294
                 : MID VALUE FUND  [010233346-000] P  $44,222
                 : NEW PERSPECTIVE FUND  [010233346-000] P  $60,667
                 : SMALL CAP INDEX FUND  [010233346-000] P  $96,530
                 : TEMPLETON WORLD  [010233346-000] P  $1,557
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $185,082
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $6,795
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $1,598
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $6,218
           = SUBTOTAL       $      2,142,632
           = OTHER          $     -2,142,632
