WM. WRIGLEY JR. COMPANY  361988190 -- BusinessCode: 311300 -- IL : CHICAGO
  [401(k)] WRIGLEY ASSOCIATE SAVINGS PLAN [361988190-004]
    2017  [codes: 2E2F2G2J2K2S2T3H3J]    https://efast2-filings-public.s3.amazonaws.com/prd/2018/10/9/20181009110454P030009679417001.pdf
        Participants: 0
        Service Providers:
           - THE VANGUARD GROUP, INC. : $290,823   (Recordkeeper | Trustee(directed) | Investment advisory(participants) | Participant loan processing | Investment management fees paid indirectly by plan)
           - STRATEGIC INVESTMENT GROUP : $56,621   (Trustee(individual))
           = TOTAL FEES: $347,444
        Available Investments:
           - VANGUARD FIDUCIARY TRUST COMPANY
                 : VFTC RETIREMENT SAVINGS TRUST II  [232186884-023] C  $0
                 : VFTC TARGET RETIREMENT 2010 TRST PL  [900735886-001] C  $0
                 : VFTC TARGET RETIREMENT 2015 TRST PL  [900735891-001] C  $0
                 : VFTC TARGET RETIREMENT 2020 TRST PL  [900735899-001] C  $0
                 : VFTC TARGET RETIREMENT 2025 TRST PL  [900735963-001] C  $0
                 : VFTC TARGET RETIREMENT 2030 TRST PL  [900735964-001] C  $0
                 : VFTC TARGET RETIREMENT 2035 TRST PL  [900735965-001] C  $0
                 : VFTC TARGET RETIREMENT 2040 TRST PL  [900735971-001] C  $0
                 : VFTC TARGET RETIREMENT 2045 TRST PL  [900735972-001] C  $0
                 : VFTC TARGET RETIREMENT 2050 TRST PL  [900735976-001] C  $0
                 : VFTC TARGET RETIREMENT 2055 TRST PL  [900735978-001] C  $0
                 : VFTC TARGET RETIREMENT 2060 TRST PL  [453799736-001] C  $0
                 : VFTC TARGET RETIREMENT INCO TRST PL  [900735883-001] C  $0
