BANK OF CENTRAL FLORIDA  208376899 -- BusinessCode: 522110 -- FL : LAKELAND
  [401(k)] BANK OF CENTRAL FLORIDA 401(K) PLAN [208376899-001]
    2023  [codes: 2E2T2J2K3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/12/5/20241205151551NAL0003133971001.pdf
        Participants: 109
        Available Investments:
           - JOHN HANCOCK LIFE INSURANCE COMPANY U.S.A.
                 : AF THE GROWTH FUND OF AMERICA  [010233346-000] P  $200,885
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $34,658
                 : CORE BOND FUND  [010233346-000] P  $10,850
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $11,085
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $12,850
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $176,453
                 : DFA US TARGETED VALUE FUND  [010233346-000] P  $101,889
                 : EQUITY INCOME FUND  [010233346-000] P  $498,335
                 : FIDELITY ADV LEVERAGED CO STK  [010233346-000] P  $15,671
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $24,389
                 : HIGH YIELD FUND  [010233346-000] P  $15,717
                 : INVESCO OPP INTL GROWTH FUND  [010233346-000] P  $23,830
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $172,576
                 : JH MULTIMANAGER 2025 LIFETIME  [010233346-000] P  $513,361
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $472,345
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $1,066,396
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $568,778
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $180,763
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $373,982
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $201,324
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $149,226
                 : JH MULTIMANAGER 2065 LIFETIME  [010233346-000] P  $14,503
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $87,564
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $100,818
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $508,856
                 : JOHN HANCOCK MID CAP GROWTH  [010233346-000] P  $156,287
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $1,473,436
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $968,258
                 : MID CAP INDEX FUND  [010233346-000] P  $84,665
                 : SMALL CAP VALUE FUND  [010233346-000] P  $17,440
                 : TEMPLETON GLOBAL BOND FUND  [010233346-000] P  $7,741
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $66,903
                 : VANGUARD STRATEGIC EQUITY FUND  [010233346-000] P  $38,103
           - JOHNJOHN HANCOCK LIFE INSURANCE COMPANY U.S.A.
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $384,706
           = SUBTOTAL       $      8,734,643
           = OTHER          $     -8,734,643
