BORTNER BROTHERS, INC.  231658949 -- BusinessCode: 238220 -- PA : YORK
  [401(k)] BORTNER BROTHERS, INC. 401(K) PROFIT SHARING PLAN [231658949-001]
    2023  [codes: 2A2E2H2J2K2S2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/6/3/20240603110820NAL0008756131001.pdf
        Participants: 49
        Available Investments:
           - JOHN HANCOCK USA
                 : AB SUSTAINABLE GLOBAL THEMATIC  [010233346-000] P  $2,251
                 : AF AMERICAN BALANCED FUND  [010233346-000] P  $28,910
                 : AF THE INCOME FUND OF AMERICA  [010233346-000] P  $1,542
                 : AMERICAN FUNDS NEW PERSPECTIVE  [010233346-000] P  $48,049
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $33,469
                 : COHEN & STEERS REAL ESTATE  [010233346-000] P  $29,273
                 : INVESCO OPP INTL GROWTH FUND  [010233346-000] P  $651
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $26,824
                 : JH 2025 LIFETIME BLEND  [010233346-000] P  $14,700
                 : JH 2030 LIFETIME BLEND  [010233346-000] P  $11,824
                 : JH 2040 LIFETIME BLEND  [010233346-000] P  $317,106
                 : JH 2055 LIFETIME BLEND  [010233346-000] P  $9,605
                 : JH 2060 LIFETIME BLEND  [010233346-000] P  $9,351
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $57,219
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $1,450,413
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $701
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $688
                 : JOHN HANCOCK ESG INTL EQUITY  [010233346-000] P  $41,683
                 : MFS GROWTH FUND  [010233346-000] P  $35,205
                 : MFS MID CAP GROWTH FUND  [010233346-000] P  $16,475
                 : OAKMARK FUND  [010233346-000] P  $796
                 : PUTNAM LARGE CAP GROWTH FUND  [010233346-000] P  $76,607
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $36,593
                 : THRIVENT MID CAP STOCK FUND  [010233346-000] P  $8,318
                 : TIAA-CREF LARGE-CAP VALUE IDX  [010233346-000] P  $1,305
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $1,889
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $8,701
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $40,191
           = SUBTOTAL       $      2,310,339
           = OTHER          $     -2,310,339
