BURG HOMES & DESIGN, INC.  391625105 -- BusinessCode: 236110 -- WI : FOND DU LAC
  [401(k)] BURG HOMES & DESIGN, INC. 401(K) RETIREMENT PLAN [391625105-001]
    2017  [codes: 2E2J2K2F2G3D2T3H]    https://efast2-filings-public.s3.amazonaws.com/prd/2018/10/15/20181015133817P040091672047001.pdf
        Participants: 24
        Available Investments:
           - JOHN HANCOCK USA
                 : AMERICAN BALANCED FUND  [010233346-000] P  $633
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $26,707
                 : CAPITAL WORLD BOND FUND  [010233346-000] P  $31,391
                 : CORE BOND FUND  [010233346-000] P  $66,403
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $82,756
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $6,745
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $90,825
                 : FIDELITY ADV NEW INSIGHTS  [010233346-000] P  $100,749
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $58,400
                 : FIDELITY CONTRAFUND  [010233346-000] P  $60,743
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $20,150
                 : FUNDAMENTAL INVESTORS  [010233346-000] P  $50,393
                 : INTERNATIONAL VALUE FUND  [010233346-000] P  $2,707
                 : INVESCO INTERNATIONAL GROWTH  [010233346-000] P  $11,962
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $7,029
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $160
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $34,168
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $159
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $86,231
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $187,610
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $215,012
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $75,510
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $44,850
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $61,267
                 : KEELEY SMALL CAP VALUE  [010233346-000] P  $56,023
                 : MID CAP INDEX FUND  [010233346-000] P  $36,527
                 : MID VALUE FUND  [010233346-000] P  $1,953
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $11,984
                 : NEW PERSPECTIVE FUND  [010233346-000] P  $3,968
                 : NEW WORLD FUND  [010233346-000] P  $79
                 : OPPENHEIMER INT'L BOND  [010233346-000] P  $44,911
                 : OPPENHEIMER INTL GROWTH FUND  [010233346-000] P  $19,693
                 : PIMCO REAL RETURN  [010233346-000] P  $22,556
                 : ROYCE OPPORTUNITY  [010233346-000] P  $26,896
                 : SMALL COMPANY VALUE FUND  [010233346-000] P  $2,034
                 : SMALLCAP WORLD FUND  [010233346-000] P  $37,065
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $159
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $50,931
           = SUBTOTAL       $      1,637,339
           = OTHER          $     -1,637,339
