KERN & CO, LLC  582631346 -- BusinessCode: 541330 -- GA : SAVANNAH
  [401(k)] KERN & CO, LLC INVESTMENT PROGRAM [582631346-001]
    2023  [codes: 2E2F2G2J2K3D3H]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/4/23/20240423121425NAL0001509265001.pdf
        Participants: 23
        Available Investments:
           - JOHN HANCOCK LIFE INSURANCE COMPANY
                 : 500 INDEX FUND  [010233346-000] P  $3,229
                 : AF AMERICAN BALANCED FUND  [010233346-000] P  $4,677
                 : AF THE GROWTH FUND OF AMERICA  [010233346-000] P  $12,965
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $5,675
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $5,636
                 : AMERICAN FUNDS NEW WORLD FUND  [010233346-000] P  $49,126
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $3,244
                 : CLEARBRIDGE AGGRESSIVE GROWTH  [010233346-000] P  $5,863
                 : COHEN & STEERS REAL ESTATE  [010233346-000] P  $6,041
                 : FRANKLIN MUTUAL BEACON FUND  [010233346-000] P  $3,182
                 : INVESCO GLOBAL FUND  [010233346-000] P  $3,280
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $5,679
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $207,131
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $25,755
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $3,252
                 : JH MULTIMANAGER 2065 LIFETIME  [010233346-000] P  $3,389
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $198,883
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $154,946
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $27,262
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $45,701
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $4,721
                 : MONEY MARKET FUND  [010233346-000] P  $221,938
                 : ROYCE SMALL-CAP OPPORTUNITY  [010233346-000] P  $5,770
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $55,289
                 : T. ROWE PRICE GROWTH STOCK  [010233346-000] P  $5,606
                 : TEMPLETON WORLD  [010233346-000] P  $2,086
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $5,736
                 : VANGUARD SHORT-TERM BOND INDEX  [010233346-000] P  $2,667
                 : VANGUARD SMALL CAP GROWTH INDEX  [010233346-000] P  $5,795
           = SUBTOTAL       $      1,084,524
           = OTHER          $     -1,084,524
