LOW COUNTRY MACHINERY  582637127 -- BusinessCode: 423800 -- GA : POOLER
  [401(k)] LOW COUNTRY MACHINERY 401(K) PLAN [582637127-001]
    2019  [codes: 2E2F2G2J2K2T3D3H2S]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/5/7/20200507135549NAL0024729074001.pdf
        Participants: 40
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $3,151
                 : AB HIGH INCOME FUND  [010233346-000] P  $14,202
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $291
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $1,746
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $925
                 : DFA INTL SMALL CAP VALUE  [010233346-000] P  $30
                 : DFA INTL SMALL COMPANY FUND  [010233346-000] P  $13,368
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $1,042
                 : DWS RREEF GBL INFRASTRUCTURE  [010233346-000] P  $9,817
                 : EATON VANCE ATLANTA SMID-CAP  [010233346-000] P  $2,924
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $25,332
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $1,358
                 : FLOATING RATE INCOME FUND  [010233346-000] P  $461
                 : GLOBAL BOND FUND  [010233346-000] P  $918
                 : HARTFORD MIDCAP FUND  [010233346-000] P  $14,650
                 : INVESCO INTERNATIONAL GROWTH  [010233346-000] P  $9,882
                 : INVESCO OPP DEVELOPING MKT  [010233346-000] P  $50,820
                 : INVESCO OPP INTL GROWTH FUND  [010233346-000] P  $18,609
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $2,354
                 : ISHARES GOLD TRUST ETF  [010233346-000] P  $10,753
                 : JH DISCIPLINED VALUE MID CAP  [010233346-000] P  $44,076
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $31,328
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $149,713
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $47,593
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $7,478
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $22,343
                 : JPMORGAN MIDCAP VALUE FUND  [010233346-000] P  $9,927
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $3,031
                 : LORD ABBETT SHORT DURATION INC  [010233346-000] P  $18,835
                 : MFS EMERGING MARKETS DEBT  [010233346-000] P  $8,636
                 : MFS UTILITIES FUND  [010233346-000] P  $12,195
                 : MONEY MARKET FUND  [010233346-000] P  $3,547
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $41,207
                 : NEW PERSPECTIVE FUND  [010233346-000] P  $24,052
                 : NUVEEN SMALL CAP VALUE FUND  [010233346-000] P  $9,069
                 : PARNASSUS CORE EQUITY FUND  [010233346-000] P  $35,724
                 : PGIM JENNISON MID CAP GROWTH  [010233346-000] P  $9,088
                 : PGIM TOTAL RETURN BOND FUND  [010233346-000] P  $648
                 : PIMCO INCOME FUND  [010233346-000] P  $17,659
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $11,200
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $20,860
                 : SMALL CAP VALUE FUND  [010233346-000] P  $45,287
                 : SMALLCAP WORLD FUND  [010233346-000] P  $18,959
                 : STRATEGIC INCOME OPP FUND  [010233346-000] P  $44,333
                 : T. ROWE PRICE CAP APPRECIATION  [010233346-000] P  $15,534
                 : T. ROWE PRICE DIVIDEND GROWTH  [010233346-000] P  $1,137
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $41,171
                 : T. ROWE PRICE QM US SC GRTH EQ  [010233346-000] P  $1,457
                 : T. ROWE PRICE RETIREMENT 2035  [010233346-000] P  $12,909
                 : T. ROWE PRICE RETIREMENT 2050  [010233346-000] P  $1,708
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $3,331
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $7,792
                 : TEMPLETON GLOBAL BOND FUND  [010233346-000] P  $64,980
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $3,109
                 : TOCQUEVILLE GOLD FUND  [010233346-000] P  $8,222
                 : VANGUARD ENERGY FUND  [010233346-000] P  $13,342
                 : VANGUARD MATERIALS INDEX FUND  [010233346-000] P  $831
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $191
           = SUBTOTAL       $        995,135
           = OTHER          $       -995,135
