LITTLE RIVER BAND OF OTTAWA INDIANS  382617761 -- BusinessCode: 813000 -- MI : MANISTEE
  [401(k)] LITTLE RIVER BAND OF OTTAWA INDIANS 401K PROFIT SHARING PLAN & TRUST [382617761-001]
    2023  [codes: 2E2G2J3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/10/15/20241015123059NAL0049399136001.pdf
        Participants: 235  Average: $35,302
        Assets: $8,295,988
        Contributions - employee: $   1,288 per participant
                      - employer: $   1,171 per participant
        Loans                   : $   1,766 per participant
        Available Investments:
           - JOHN HANCOCK USA
                 : 10-YEAR COMPOUND  [010233346-000] P  $285
                 : 3-YEAR COMPOUND  [010233346-000] P  $202
                 : 5-YEAR COMPOUND  [010233346-000] P  $2,536
                 : 500 INDEX FUND  [010233346-000] P  $289,887
                 : AF AMERICAN BALANCED FUND  [010233346-000] P  $66,418
                 : AF THE GROWTH FUND OF AMERICA  [010233346-000] P  $4,899
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $16,382
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $12,968
                 : AMERICAN FUNDS FUNDAMENTAL INV  [010233346-000] P  $442
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $15,431
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $574,083
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $285,024
                 : CLEARBRIDGE GROWTH FUND  [010233346-000] P  $14,632
                 : CORE BOND FUND  [010233346-000] P  $24,060
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $32,995
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $47
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $3,268
                 : DFA US TARGETED VALUE FUND  [010233346-000] P  $31,384
                 : DOMINI IMPACT EQUITY FUND  [010233346-000] P  $19,444
                 : EQUITY INCOME FUND  [010233346-000] P  $16,525
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $187,971
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $30,364
                 : FRANKLIN MUTUAL BEACON FUND  [010233346-000] P  $204,353
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $2,793
                 : FUNDAMENTAL ALL CAP CORE FUND  [010233346-000] P  $133,843
                 : FUNDAMENTAL LARGE CAP VALUE  [010233346-000] P  $109,123
                 : HIGH YIELD FUND  [010233346-000] P  $262,661
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $98,431
                 : INVESCO DEVELOPING MARKETS  [010233346-000] P  $29,402
                 : INVESCO EQV INTL EQUITY FUND  [010233346-000] P  $116
                 : INVESCO GLOBAL FUND  [010233346-000] P  $18,275
                 : INVESCO INTERNATIONAL BOND  [010233346-000] P  $24,659
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $18,438
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $49,946
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $5,940
                 : JH MULTIMANAGER 2010 LIFETIME  [010233346-000] P  $20
                 : JH MULTIMANAGER 2015 LIFETIME  [010233346-000] P  $10
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $183
                 : JH MULTIMANAGER 2025 LIFETIME  [010233346-000] P  $11
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $12
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $13
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $2,312
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $13
                 : JH MULTIMANAGER 2065 LIFETIME  [010233346-000] P  $30,472
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $98,192
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $397,334
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $99,257
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $275,714
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $66,530
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $48,421
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $15,685
                 : JOHN HANCOCK INTL GROWTH  [010233346-000] P  $3,975
                 : JOHN HANCOCK MID CAP GROWTH  [010233346-000] P  $101,425
                 : JOHN HANCOCK U.S. GROWTH FUND  [010233346-000] P  $64
                 : JPMORGAN MIDCAP VALUE FUND  [010233346-000] P  $53,839
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $5,510
                 : MFS UTILITIES FUND  [010233346-000] P  $113,731
                 : MID CAP INDEX FUND  [010233346-000] P  $202,997
                 : MID VALUE FUND  [010233346-000] P  $298,859
                 : MONEY MARKET FUND  [010233346-000] P  $904,170
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $47,270
                 : NEW OPPORTUNITIES FUND  [010233346-000] P  $2,572
                 : OPPORTUNISTIC FIXED INCOME  [010233346-000] P  $33,334
                 : PIMCO ALL ASSET  [010233346-000] P  $88
                 : PIMCO REAL RETURN  [010233346-000] P  $49,726
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $87,133
                 : ROYCE SMALL-CAP OPPORTUNITY  [010233346-000] P  $25,994
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $768,616
                 : SMALL CAP INDEX FUND  [010233346-000] P  $1,542
                 : SMALL CAP STOCK FUND  [010233346-000] P  $94,927
                 : SMALL CAP VALUE FUND  [010233346-000] P  $34,343
                 : STRATEGIC INCOME OPP FUND  [010233346-000] P  $161,991
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $137,045
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $472,943
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $22,359
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $167,067
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $77,077
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $3,005
                 : TEMPLETON FOREIGN SMALLER CO  [010233346-000] P  $4,305
                 : TEMPLETON WORLD  [010233346-000] P  $2,799
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $206,109
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $6,623
                 : VANGUARD ENERGY FUND  [010233346-000] P  $27,536
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $1,813
                 : VANGUARD SHORT-TERM FEDERAL  [010233346-000] P  $32,854
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $15,247
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $55,935
                 : VANGUARD VALUE INDEX FUND  [010233346-000] P  $1,782
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $18,656
           = SUBTOTAL       $      7,866,667
           = OTHER          $        429,321
