LYONS GROUP LTD.  042707878 -- BusinessCode: 561490 -- MA : BOSTON
  [401(k)] LYONS GROUP 401(K) PLAN [042707878-001]
    2022  [codes: 2E2F2G2J2K3D3H]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/10/16/20231016153650NAL0051306160001.pdf
        Participants: 1,452  Average: $3,848
        Assets: $5,588,268
        Contributions - employee: $     204 per participant
                      - employer: $      96 per participant
        Loans                   : $      42 per participant
        Service Providers:
           - TRANSAMERICA LIFE INSURANCE CO. : $8,525  RECORDKEEPER (Recordkeeper | Participant loan processing | Investment management fees paid indirectly by plan | Float revenue | Recordkeeping fees | Other insurance wrap fees)
           = TOTAL FEES: $8,525 (or $5 per partipant)
        Available Investments:
           - TRANSAMERICA LIFE INSURANCE CO.
                 : ALGER CAPITAL APPRECIATION  [390989781-132] P  $229,062
                 : AM FUNDS BALANCED  [390989781-026] P  $5,831
                 : AM FUNDS WASHINGTON MUTUAL INVESTOR  [390989781-008] P  $89,201
                 : AMERICAN CENTURY SM CAP VALUE  [390989781-401] P  $171,711
                 : AMERICAN FUNDS FUNDAMENTAL INVESTOR  [390989781-236] P  $91,364
                 : BLACKROCK HIGH YIELD BOND PORTFOLIO  [390989781-757] P  $33,860
                 : HARTFORD MID CAP RET OPT  [390989781-729] P  $42,951
                 : LOOMIS SAYLES BOND  [390989781-150] P  $55,382
                 : OPPENHEIMER GLOBAL OP  [390989781-216] P  $279,346
                 : STATE STREET RUSSELL INTRNL INDEX  [390989781-035] P  $81,878
                 : STATE STREET RUSSELL S&P MIDCAP IND  [390989781-036] P  $47,562
                 : STATE STREET RUSSELL SMALL-CAP INDE  [390989781-033] P  $23,158
                 : STATE STREET RUSSELL US BOND INDEX  [390989781-037] P  $18,035
                 : T. ROWE PRICE GROWTH STOCK RET OPT  [390989781-606] P  $270,394
                 : TA BLACKROCK LIFEPATH INDEX 2025 RE  [390989781-049] P  $546,110
                 : TA BLACKROCK LIFEPATH INDEX 2030 RE  [390989781-111] P  $462,279
                 : TA BLACKROCK LIFEPATH INDEX 2035 RE  [390989781-050] P  $176,100
                 : TA BLACKROCK LIFEPATH INDEX 2040 RE  [390989781-112] P  $106,176
                 : TA BLACKROCK LIFEPATH INDEX 2045 RE  [390989781-051] P  $531,788
                 : TA BLACKROCK LIFEPATH INDEX 2050 RE  [390989781-113] P  $172,626
                 : TA BLACKROCK LIFEPATH INDEX 2055 RE  [390989781-505] P  $31,375
                 : TA BLACKROCK LIFEPATH INDEX 2060 RE  [390989781-612] P  $20,367
                 : TA BLACKROCK LIFEPATH INDEX RETIREM  [390989781-047] P  $810,937
                 : TA PARTNERS STOCK INDEX  [390989781-587] P  $942,281
                 : VIRTUS CEREDEX MID-CAP VALUE EQUITY  [390989781-302] P  $43,500
           = SUBTOTAL       $      5,283,274
           = OTHER          $        304,994
