ASPHALT PATCH SYSTEMS, INC.  911504495 -- BusinessCode: 237310 -- WA : PUYALLUP
  [401(k)] ASPHALT PATCH SYSTEMS, INC. 401 (K) PLAN [911504495-001]
    2022  [codes: 2A2E2F2G2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/6/27/20230627154516NAL0005400881001.pdf
        Participants: 87
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $195,633
                 : AF THE GROWTH FUND OF AMERICA  [010233346-000] P  $979,363
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $296,058
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $42,758
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $17,716
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $5,491
                 : DOMINI IMPACT EQUITY FUND  [010233346-000] P  $24,165
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $68,248
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $40,887
                 : HIGH YIELD FUND  [010233346-000] P  $23,798
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $1,913
                 : INVESCO DEVELOPING MARKETS  [010233346-000] P  $5,995
                 : INVESCO GLOBAL FUND  [010233346-000] P  $20,399
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $11,382
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $1,217
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $298,780
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $91,733
                 : MFS UTILITIES FUND  [010233346-000] P  $30,415
                 : MID CAP INDEX FUND  [010233346-000] P  $219,221
                 : MID VALUE FUND  [010233346-000] P  $195,898
                 : MONEY MARKET FUND  [010233346-000] P  $398
                 : NEW OPPORTUNITIES FUND  [010233346-000] P  $23,724
                 : PIMCO ALL ASSET  [010233346-000] P  $26,863
                 : PIMCO REAL RETURN  [010233346-000] P  $198,928
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $163,409
                 : ROYCE OPPORTUNITY  [010233346-000] P  $26,855
                 : RUSSELL EQUITY GROWTH  [010233346-000] P  $42,567
                 : RUSSELL GROWTH  [010233346-000] P  $42,146
                 : SMALL CAP INDEX FUND  [010233346-000] P  $152,233
                 : STRATEGIC INCOME OPP FUND  [010233346-000] P  $237,651
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $506,244
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $346,580
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $26,793
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $19,407
                 : VANGUARD BALANCED INDEX FUND  [010233346-000] P  $757,010
                 : VANGUARD ENERGY FUND  [010233346-000] P  $192,922
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $213,739
                 : VANGUARD GROWTH INDEX FUND  [010233346-000] P  $39,586
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $33,509
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $5,448
                 : VANGUARD VALUE INDEX FUND  [010233346-000] P  $40,470
           = SUBTOTAL       $      5,667,552
           = OTHER          $     -5,667,552
