ACTUARIES UNLIMITED, INC.  953654973 -- BusinessCode: 541990 -- CA : ENCINO
  [401(k)] ACTUARIES UNLIMITED, INC. 401(K) PROFIT SHARING PLAN [953654973-003]
    2017  [codes: 2A2E2F2H2J2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2018/10/15/20181015151007P040008462377001.pdf
        Participants: 38
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $9,259
                 : AMERICAN BALANCED FUND  [010233346-000] P  $20,929
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $18,469
                 : BLUE CHIP GROWTH  [010233346-000] P  $42,095
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $6,092
                 : CLEARBRIDGE AGGRESSIVE GROWTH  [010233346-000] P  $2,051
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $75,962
                 : DOMINI IMPACT EQUITY FUND  [010233346-000] P  $704
                 : FIDELITY ADVISOR TOTAL BOND  [010223346-000] P  $151,124
                 : FIDELITY CONTRAFUND  [010233346-000] P  $36,488
                 : FRANKLIN MUTUAL BEACON FUND  [010233346-000] P  $22,598
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $35,946
                 : FUNDAMENTAL LARGE CAP VALUE  [010233346-000] P  $1,227
                 : HIGH YIELD FUND  [010233346-000] P  $118,361
                 : INTERNATIONAL VALUE FUND  [010233346-000] P  $76,011
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $66
                 : INTL SMALL CAP FUND  [010233346-000] P  $4,293
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $3,012
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $82,974
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $92,399
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $192,845
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $128,939
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $693,554
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $154,586
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $20,732
                 : JPMORGAN US EQUITY FUND  [010233346-000] P  $143,590
                 : MID CAP INDEX FUND  [010233346-000] P  $113,589
                 : MID CAP STOCK FUND  [010233346-000] P  $446
                 : MONEY MARKET FUND  [010223346-000] P  $102,598
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $14,938
                 : OPPENHEIMER DEVELOPING MKT  [010233346-000] P  $70,409
                 : OPPENHEIMER GLOBAL  [010233346-000] P  $8,703
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $161,073
                 : SMALL CAP INDEX FUND  [010233346-000] P  $190
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $20,199
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $96,439
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $20,849
                 : TEMPLETON WORLD  [010233346-000] P  $43,514
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $39,476
                 : VANGUARD SHORT-TERM FEDERAL  [010223346-000] P  $5,709
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $3,515
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $1,320
           = SUBTOTAL       $      2,837,273
           = OTHER          $     -2,837,273
