ARGIRES MAROTTI NEUROSURGICAL ASSOCIATES OF LANCASTER  232999689 -- BusinessCode: 621111 -- PA : LANCASTER
  [401(k)] ARGIRES MAROTTI NEUROSURGICAL ASSOCIATES OF LANCASTER RETIREMENT PLAN [232999689-001]
    2022  [codes: 2E2F2G2J2K2R3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/7/19/20230719145414NAL0004451650001.pdf
        Participants: 38
        Available Investments:
           - TRANSAMERICA FINANCIAL LIFE INSURANCE COMPANY
                 : ALLSPRING PRECIOUS METALS RET ACCT  [366071399-272] P  $7,303
                 : AMERICAN CENTURY MID CAP VALUE RET  [366071399-276] P  $94,396
                 : AMERICAN FUNDS BALANCED RET ACCT  [366071399-228] P  $66,586
                 : AMERICAN FUNDS EUROPACIFIC GROWTH R  [366071399-076] P  $13,579
                 : AMERICAN FUNDS FUNDAMENTAL INVESTOR  [366071399-232] P  $87,894
                 : BLACKROCK EQUITY DIVIDEND RET ACCT  [366071399-236] P  $106,064
                 : INVESCO DEVELOPING MARKETS RET ACCT  [366071399-471] P  $76,983
                 : JPMORGAN SMID CAP EQUITY RET ACCT  [366071399-331] P  $5,689
                 : LOOMIS SAYLES BOND RET ACCT  [366071399-107] P  $1,697
                 : LOOMIS SAYLES INVESTMENT GRADE BOND  [366071399-094] P  $16,896
                 : LORD ABBETT FUNDAMENTAL EQUITY RET  [366071399-383] P  $35,538
                 : T. ROWE PRICE STRATEGIC INCOME RET  [366071399-743] P  $2,314
                 : TA VANGUARD LIFESTRATEGY GROWTH RET  [366071399-502] P  $19,066
                 : TA VANGUARD REAL ESTATE INDEX RET A  [366071399-130] P  $34,985
                 : TA VANGUARD SMALL-CAP INDEX RET ACC  [366071399-132] P  $85,603
                 : TRANSAMERICA LARGE CAP VALUE RET AC  [366071399-477] P  $33,081
                 : TRANSAMERICA LIFEGOAL 2025 WITH BLA  [366071399-018] P  $0
                 : TRANSAMERICA LIFEGOAL 2035 WITH BLA  [366071399-019] P  $179,640
                 : TRANSAMERICA LIFEGOAL 2040 WITH BLA  [366071399-164] P  $29,627
                 : TRANSAMERICA LIFEGOAL 2045 WITH BLA  [366071399-295] P  $217,499
                 : TRANSAMERICA LIFEGOAL 2050 WITH BLA  [366071399-165] P  $370,617
                 : TRANSAMERICA LIFEGOAL 2055 WITH BLA  [366071399-505] P  $38,302
                 : TRANSAMERICA LIFEGOAL 2060 WITH BLA  [366071399-607] P  $6,454
                 : TRANSAMERICA LIFEGOAL RETIREMENT WI  [366071399-417] P  $35,904
                 : TRANSAMERICA PARTNERS HIGH YIELD BO  [366071399-102] P  $31,288
           = SUBTOTAL       $      1,597,005
           = OTHER          $     -1,597,005
