ALLIED HEATING & AIR CONDITIONING COMPANY, INC.  680012119 -- BusinessCode: 238220 -- CA : SAN RAFAEL
  [401(k)] ALLIED HEATING & AIR CONDITIONING CO., INC. 401(K) & PROFIT SHARING PLAN [680012119-001]
    2020  [codes: 2E2F2G2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2022/7/14/20220714182656NAL0048466914001.pdf
        Participants: 19
        Available Investments:
           - JOHN HANCOCK
                 : 5 YR COMP  [010233346-000] P  $13,358
                 : 500 INDEX FUND  [010233346-000] P  $137,395
                 : AMERICAN BALANCED FUND  [010233346-000] P  $123,629
                 : BLACKROCK INFLATION PROTECTED BOND  [010233346-000] P  $113,345
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $1,865
                 : DFA INTERM GOVERNMENT FIXED INCOME  [010233346-000] P  $15,833
                 : DFA INTERNATIONAL VALUE FUND  [010233346-000] P  $0
                 : DFA US SMALL CAP FUND  [010233346-000] P  $1,572
                 : DODGE & COX STOCK FUND  [010233346-000] P  $0
                 : FEDERATED MDT SMALL CAP GROWTH FUND  [010233346-000] P  $0
                 : FIDELITY ADVISORS TOTAL BOND  [010233346-000] P  $0
                 : GROWTH FUND OF AMERICA  [010233346-000] P  $70,080
                 : GUGGENHEIM LIMITED DURATION FUND  [010233346-000] P  $156,168
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $13
                 : INVESCO GLOBAL  [010233346-000] P  $14,274
                 : JH LS AGG ACTIVE STRATEGY  [010233346-000] P  $74,362
                 : JH LS BAL ACTIVE STRATEGY  [010233346-000] P  $1,210,649
                 : JH LS CON ACTIVE STRATEGY  [010233346-000] P  $38,335
                 : JH LS GROW ACTIVE STRATEGY  [010233346-000] P  $169,812
                 : JH LS MOD ACTIVE STRATEGY  [010233346-000] P  $16,881
                 : JPM MIDCAP VALUE FUND  [010233346-000] P  $34
                 : MFS EMERGING MARKETS DEBT  [010233346-000] P  $0
                 : MFS MID CAP GROWTH FUND  [010233346-000] P  $23,812
                 : MID CAP INDEX FUND  [010233346-000] P  $21,506
                 : MONEY MARKET FUND  [010233346-000] P  $66,712
                 : OPPENHEIMER DEVELOPING MARKET  [010233346-000] P  $0
                 : OPPENHEIMER GLOBAL  [010233346-000] P  $0
                 : PIMCO INCOME FUND  [010233346-000] P  $184,963
                 : PIMCO REAL RETURN  [010233346-000] P  $72,595
                 : ROYCE OPPRTUNITY  [010233346-000] P  $0
                 : SMALL CAP INDEX  [010233346-000] P  $1,557
                 : SMALL CAP INDEX FUND  [010233346-000] P  $4,186
                 : T. ROWE PRICE EQUITY INC.  [010233346-000] P  $81,009
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $55,794
                 : T. ROWE PRICE RETIREMENT 2035  [010233346-000] P  $0
                 : T. ROWE PRICE RETIREMENT 2040  [010233346-000] P  $42,293
                 : TOCQUEVILLE GOLD FUND  [010233346-000] P  $447,473
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $3,766
                 : UTILITIES FUND  [010233346-000] P  $0
                 : VANGUARD SMALL CAP GROWTH INDEX  [010233346-000] P  $1,214
                 : WISDOM TREE MIDCAP DIVIDEND ETF  [010233346-000] P  $0
           = SUBTOTAL       $      3,164,485
           = OTHER          $     -3,164,485
