ALPHA DISTRIBUTORS, INC.  362911667 -- BusinessCode: 423800 -- IL : HARWOOD HEIGHTS
  [401(k)] ALPHA DISTRIBUTORS, INC. PROFIT SHARING PLAN AND TRUST [362911667-001]
    2019  [codes: 2A2E2F2G2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/2/25/20200225123229NAL0012954546001.pdf
        Participants: 22
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $1,093,263
                 : AMERICAN BALANCED FUND  [010233346-000] P  $116,247
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $23,587
                 : DODGE & COX INTERNATIONAL ST  [010233346-000] P  $9,249
                 : DODGE & COX STOCK FUND  [010233346-000] P  $11,003
                 : FEDERATED HIGH YIELD BOND  [010233346-000] P  $8,710
                 : FIDELITY ADV NEW INSIGHTS  [010233346-000] P  $23,397
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $45,986
                 : FIDELITY CONTRAFUND  [010233346-000] P  $28,845
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $9,265
                 : INVESCO OPP INTL GROWTH FUND  [010233346-000] P  $10,592
                 : JH MULTI-INDEX LS AGGRESSIVE  [010233346-000] P  $6,212
                 : JH MULTI-INDEX LS GROWTH  [010233346-000] P  $10,512
                 : JH MULTIMANAGER 2025 LIFETIME  [010233346-000] P  $73,622
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $182,865
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $76,876
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $53,901
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $192,225
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $10,316
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $648,697
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $29
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $0
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $68,947
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $10,360
                 : JPMORGAN MIDCAP VALUE FUND  [010233346-000] P  $20,900
                 : KEELEY SMALL CAP DIVIDEND VAL  [010233346-000] P  $8,392
                 : MFS UTILITIES FUND  [010233346-000] P  $9,467
                 : MONEY MARKET FUND  [010233346-000] P  $17,536
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $46,632
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $23,564
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $12,239
                 : SMALL CAP STOCK FUND  [010233346-000] P  $12,238
                 : T. ROWE PRICE CAP APPRECIATION  [010233346-000] P  $10,363
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $9,415
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $21,204
                 : T. ROWE PRICE SHORT TERM BOND  [010233346-000] P  $90,993
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $8,215
                 : TEMPLETON GLOBAL BOND FUND  [010233346-000] P  $7,938
                 : VANGUARD ENERGY FUND  [010233346-000] P  $15,002
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $25,630
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $26,740
           = SUBTOTAL       $      3,081,174
           = OTHER          $     -3,081,174
