APPLEWOOD DRYWALL SERVICE, INC.  391565352 -- BusinessCode: 238300 -- WI : WAUKESHA
  [401(k)] APPLEWOOD DRYWALL SERVICE, INC. 401(K) PLAN [391565352-001]
    2020  [codes: 2E2J2K2F2G2S3D2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2021/4/22/20210422134418NAL0003423296001.pdf
        Participants: 48
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $45,500
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $1,276
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $11,254
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $34
                 : DOMINI IMPACT EQUITY FUND  [010233346-000] P  $50
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $5,998
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $1,431
                 : FRANKLIN MUTUAL BEACON FUND  [010233346-000] P  $18,787
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $1,259
                 : FUNDAMENTAL LARGE CAP VALUE  [010233346-000] P  $13,771
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $415,023
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $507,613
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $17,970
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $1,604,942
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $41,041
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $0
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $125,758
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $18,906
                 : MFS UTILITIES FUND  [010233346-000] P  $17,484
                 : MID CAP INDEX FUND  [010233346-000] P  $33,483
                 : MID CAP STOCK FUND  [010233346-000] P  $6,565
                 : NEW OPPORTUNITIES FUND  [010233346-000] P  $2,331
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $0
                 : SMALL CAP STOCK FUND  [010233346-000] P  $6,168
                 : SMALL CAP VALUE FUND  [010233346-000] P  $6,026
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $3,986
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $5,206
                 : TEMPLETON FOREIGN SMALLER CO  [010233346-000] P  $1,259
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $49,509
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $1,421
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $32,637
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $35,121
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $6,456
           = SUBTOTAL       $      3,038,265
           = OTHER          $     -3,038,265
