JACKSON AND TULL, CHARTERED ENGINE  521004080 -- BusinessCode: 541700 -- DC : WASHINGTON
  [401(k)] JACKSON AND TULL RETIREMENT PLAN [521004080-001]
    2022  [codes: 2A2E2F2G2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/10/13/20231013104512NAL0066930786007.pdf
        Participants: 163  Average: $144,198
        Assets: $23,504,405
        Contributions - employee: $   2,255 per participant
                      - employer: $     339 per participant
        Loans                   : $     506 per participant
        Service Providers:
           - JOHN HANCOCK LIFE INSURANCE COMPANY : $951  RECORDKEEPER (Recordkeeper | Investment management | Shareholder servicing fees | Sub - transfer agency fees | Float revenue | Distribution(12b - 1) fees | Other insurance wrap fees | 'Soft dollars' commissions)
           = TOTAL FEES: $951 (or $5 per partipant)
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $1,487,613
                 : AMERICAN BALANCED FUND  [010233346-000] P  $71,652
                 : BLACKROCK GLOBAL ALLCOATION  [010233346-000] P  $103,021
                 : BLACKROCK LARGE CAP FOCUS VAL  [010233346-000] P  $1,322
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $101,070
                 : CORE BOND FUND  [010233346-000] P  $31,276
                 : DELAWARE IVY ASSET STRATEGY FUND  [010233346-000] P  $27
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $7,422
                 : DFA INFLATION-PROTECTED SEC  [010233346-000] P  $48,686
                 : DFA US SMALL CAP FUND  [010233346-000] P  $34
                 : DFA US TARGETED VALUE FUND  [010233346-000] P  $23
                 : DODGE & COX STOCK FUND  [010233346-000] P  $140,807
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $1,645
                 : FEDERATED HIGH YIELD BOND  [010233346-000] P  $71,069
                 : FIDELITY ADV NEW INSIGHTS  [010233346-000] P  $110,197
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $56
                 : FIDELITY CONTRAFUND  [010233346-000] P  $66,243
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $112
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $9,740
                 : FUNDAMENTAL LARGE CAP VALUE  [010233346-000] P  $104,780
                 : HIGH YIELD FUND  [010233346-000] P  $44,756
                 : INCOME FUND OF AMERICA  [010233346-000] P  $35,445
                 : INDEX INTERNATIONAL FUND  [010233346-000] P  $852
                 : INVESCO DEVELOPING MARKETS  [010233346-000] P  $18,384
                 : INVESCO GLOBAL FUND  [010233346-000] P  $21,128
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $19,890
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $17
                 : JH MULTI - INDEX 2035 PRESERV  [010233346-000] P  $276,036
                 : JH MULTI - INDEX 2050 PRESERV  [010233346-000] P  $85,700
                 : JH MULTI - INDEX INCOME PRESERV  [010233346-000] P  $3,236
                 : JH MULTI-INDEX 2025 PRESERV  [010233346-000] P  $165,481
                 : JH MULTI-INDEX 2030 PRESERV  [010233346-000] P  $76,221
                 : JH MULTI-INDEX 2040 PRESERV  [010233346-000] P  $771
                 : JH MULTIMANAGER 2010 LIFETIME  [010233346-000] P  $1,215,138
                 : JH MULTIMANAGER 2015 LIFETIME  [010233346-000] P  $824,904
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $665,500
                 : JH MULTIMANAGER 2025 LIFETIME  [010233346-000] P  $2,693,252
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $3,305,743
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $1,967,370
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $3,079,803
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $619,144
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $495,590
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $155,555
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $261,981
                 : JH MULTIMANAGER 2065 LIFETIME  [010233346-000] P  $23,205
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $39,628
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $670,059
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $71,292
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $250,082
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $124,104
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $39,103
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $1,633,673
                 : JP MORGAN US EQUITY FUND  [010233346-000] P  $152,211
                 : LORD ABBETT VALUE OPPS FUND  [010233346-000] P  $62
                 : MFS MASSACHUSETTS INVESTORS  [010233346-000] P  $53
                 : MFS UTILITIES FUND  [010233346-000] P  $2,209
                 : MID CAP INDEX FUND  [010233346-000] P  $66,601
                 : MID VALUE FUND  [010233346-000] P  $7
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $187
                 : PARNASSUS CORE EQUITY FUND  [010233346-000] P  $37,423
                 : PIMCO ALL ASSET  [010233346-000] P  $1,283
                 : PIMCO COMMODITY REAL RETURN  [010233346-000] P  $35,884
                 : PIMCO REAL RETURN  [010233346-000] P  $18,639
                 : REAL EST SECURITIES FUND  [010233346-000] P  $4,404
                 : SMALL CAP INDEX FUND  [010233346-000] P  $54,005
                 : SMALL CAP VALUE FUND  [010233346-000] P  $20,930
                 : SPROTT GOLD EQUITY FUND  [010233346-000] P  $26,016
                 : STRATEGIC INCOME OPP FUND  [010233346-000] P  $20,797
                 : T. ROWE PRICE CAP APPRECIATION  [010233346-000] P  $691,555
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $218,660
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $1,000
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $67,502
                 : TEMPLETON GLOBAL BOND FUND  [010233346-000] P  $2,033
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $160,054
                 : VANGUARD ENERGY FUND  [010233346-000] P  $16,252
                 : VANGUARD SMALL CAP GROWTH INDEX  [010233346-000] P  $50,431
                 : VANGUARD VALUE INDEX FUND  [010233346-000] P  $27,741
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $33
           = SUBTOTAL       $     22,915,810
           = OTHER          $        588,595
