YALE/CHASE EQUIPMENT AND SERVICES, INC.  330585977 -- BusinessCode: 441228 -- CA : WHITTIER
  [401(k)] YALE/CHASE EQUIPMENT AND SERVICES, INC. RETIREMENT SAVINGS PLAN [330585977-001]
    2020  [codes: 2F2E2G2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2021/10/15/20211015134701NAL0023761281001.pdf
        Participants: 2  Average: $563
        Assets: $1,127
        Contributions - employee: $ 207,532 per participant
                      - employer: $       0 per participant
        Loans                   : $       0 per participant
        Service Providers:
           - VINTAGE WEST CAPITAL MGMT LLC : $28,521  ADVISOR (Investment advisory(plan))
           - FIDELITY INVESTMENTS INSTITUTIONAL : $1,913  RECORDKEEPER (Participant loan processing | Sub - transfer agency fees | Recordkeeping fees | Account maintenance fees)
           = TOTAL FEES: $30,434 (or $15,217 per partipant)
        Service Fees:
           - FIDELITY INVESTMENTS INSTITUTIONAL : AB DISC GRTH ADV - ALLIANCEBERNSTE   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : CRLN S MID CAP I - U.S. BANK N.A   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : FKLN RISING DIVS ADV - FRANKLIN TE   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : GS SM CAP VALUE INST - GOLDMAN SAC   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : INVS DEVELOP MKT Y - INVESCO INVES   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : INVS GLOBAL OPP Y - INVESCO INVEST   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : J H HIGH-YIELD I - JANUS SERVICES   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM EQUITY INCOME R5 - DST ASSET M   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM LG CAP GROWTH R5 - DST ASSET M   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : LD ABT SH DRTN INC I - DST SYSTEMS   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : MFS UTILITIES R4 - MFS SERVICE CEN   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : PUTNAM INCOME Y - PUTNAM INVESTOR   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : THORNBURG INT VAL R5 - DST ASSET M   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : TRP NEW HORIZONS - T. ROWE PRICE S   $0 | 0.15%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : VICTORY S ESTB VAL I - FIS INVESTO   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : WF PREC METALS IS - DST ASSET MANA   $0 | 0.15%)
