UNITED WISCONSIN GRAIN PRODUCERS, LLC  392032455 -- BusinessCode: 325900 -- WI : FRIESLAND
  [401(k)] UWGP 401(K) RETIREMENT PLAN [392032455-001]
    2019  [codes: 2E2J2K2F2G3D3B2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/6/26/20200626114657NAL0004486161001.pdf
        Participants: 50
        Available Investments:
           - JOHN HANCOCK USA
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $60,028
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $257,397
                 : CAPITAL INCOME BUILDER  [010233346-000] P  $195,192
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $11,353
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $47,688
                 : DODGE & COX INTERNATIONAL ST  [010233346-000] P  $110,421
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $12,764
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $209,144
                 : FIDELITY CONTRAFUND  [010233346-000] P  $225,636
                 : FUNDAMENTAL INVESTORS  [010233346-000] P  $2,894
                 : INCOME FUND OF AMERICA  [010233346-000] P  $109,506
                 : INVESCO OPP INTL GROWTH FUND  [010233346-000] P  $108,004
                 : JH MULTI-INDEX 2025 PRESERV  [010233346-000] P  $606,046
                 : JH MULTI-INDEX 2030 PRESERV  [010233346-000] P  $832,496
                 : JH MULTI-INDEX 2035 PRESERV  [010233346-000] P  $659,731
                 : JH MULTI-INDEX 2040 PRESERV  [010233346-000] P  $179,211
                 : JH MULTI-INDEX 2045 PRESERV  [010233346-000] P  $152,371
                 : JH MULTI-INDEX 2050 PRESERV  [010233346-000] P  $409,205
                 : JH MULTI-INDEX 2055 PRESERV  [010233346-000] P  $45,862
                 : JH MULTI-INDEX 2060 PRESERV  [010233346-000] P  $15,738
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $41,185
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $269,100
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $15,266
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $238,466
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $13,140
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $33,043
                 : LORD ABBETT VALUE OPPS FUND  [010233346-000] P  $60,335
                 : MFS MASSACHUSETTS INVESTORS  [010233346-000] P  $26,912
                 : MID CAP INDEX FUND  [010233346-000] P  $14,511
                 : PGIM JENNISON MID CAP GROWTH  [010233346-000] P  $148,848
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $44,012
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $117,346
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $76,886
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $129,176
           = SUBTOTAL       $      5,478,913
           = OTHER          $     -5,478,913
