UROLOGY OF GREATER ATLANTA LLC  201722595 -- BusinessCode: 621111 -- GA : STOCKBRIDGE
  [401(k)] UROLOGY OF GREATER ATLANTA, LLC 401K PROFIT SHARING PLAN [201722595-001]
    2023  [codes: 2A2E2F2G2J2R2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/10/14/20241014114741NAL0044372016001.pdf
        Participants: 91
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $919,045
                 : AF AMERICAN BALANCED FUND  [010233346-000] P  $24,905
                 : AF THE GROWTH FUND OF AMERICA  [010233346-000] P  $213,750
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $352,670
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $518,802
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $93,869
                 : CORE BOND FUND  [010233346-000] P  $238,631
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $374,354
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $84,172
                 : FRANKLIN MUTUAL BEACON FUND  [010233346-000] P  $56,027
                 : HIGH YIELD FUND  [010233346-000] P  $34,797
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $262,655
                 : INVESCO DEVELOPING MARKETS  [010233346-000] P  $369,268
                 : INVESCO GLOBAL FUND  [010233346-000] P  $142,519
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $56,402
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $37,531
                 : JH LIFETIME BLEND 2025 CIT R2  [010233346-000] P  $550
                 : JH LIFETIME BLEND 2030 CIT R2  [010233346-000] P  $64,745
                 : JH LIFETIME BLEND 2035 CIT R2  [010233346-000] P  $109,973
                 : JH LIFETIME BLEND 2045 CIT R2  [010233346-000] P  $545,880
                 : JH LIFETIME BLEND 2050 CIT R2  [010233346-000] P  $79,417
                 : JH LIFETIME BLEND 2055 CIT R2  [010233346-000] P  $166,542
                 : JH LIFETIME BLEND 2060 CIT R2  [010233346-000] P  $30,208
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $1,179,501
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $99,599
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $36,731
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $712,851
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $331
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $177,023
                 : JOHN HANCOCK MID CAP GROWTH  [010233346-000] P  $205,709
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $465,325
                 : MFS UTILITIES FUND  [010233346-000] P  $29,088
                 : MID CAP INDEX FUND  [010233346-000] P  $323,239
                 : MID VALUE FUND  [010233346-000] P  $11,597
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $9,289
                 : PIMCO REAL RETURN  [010233346-000] P  $5,453
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $18,806
                 : ROYCE SMALL-CAP OPPORTUNITY  [010233346-000] P  $174,341
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $45,481
                 : SMALL CAP INDEX FUND  [010233346-000] P  $138,047
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $32,254
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $258,459
                 : TEMPLETON FOREIGN SMALLER CO  [010233346-000] P  $45,966
                 : TEMPLETON WORLD  [010233346-000] P  $28,296
                 : VANGUARD ENERGY FUND  [010233346-000] P  $104,390
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $202,132
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $141,214
           = SUBTOTAL       $      9,221,834
           = OTHER          $     -9,221,834
