FAIRLY CONSULTING GROUP, LLC  475239878 -- BusinessCode: 524210 -- TX : AMARILLO
  [401(k)] FAIRLY CONSULTING GROUP, LLC 401(K) PLAN [475239878-001]
    2021  [codes: 2E2F2G2J2K2T3D3H]    https://efast2-filings-public.s3.amazonaws.com/prd/2022/10/13/20221013095916NAL0025155361001.pdf
        Participants: 188  Average: $116,248
        Assets: $21,854,792
        Contributions - employee: $   6,522 per participant
                      - employer: $   3,184 per participant
        Loans                   : $     828 per participant
        Service Providers:
           - JOHN HANCOCK LIFE INSURANCE COMPANY : $2,531  RECORDKEEPER (Recordkeeper)
           = TOTAL FEES: $2,531 (or $13 per partipant)
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $1,007,298
                 : AF AMERICAN BALANCED FUND  [010233346-000] P  $733,090
                 : AF CAPITAL INCOME BUILDER  [010233346-000] P  $13,695
                 : AF THE GROWTH FUND OF AMERICA  [010233346-000] P  $23,458
                 : AF US GOVERNMENT SECURITIES  [010233346-000] P  $32,610
                 : AMERICAN BALANCED FUND  [010233346-000] P  $0
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $73,540
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $22,195
                 : AMERICAN FUNDS FUNDAMENTAL INV  [010233346-000] P  $43,843
                 : AMERICAN FUNDS SMALLCAP WORLD  [010233346-000] P  $7,630
                 : BAIRD MIDCAP FUND  [010233346-000] P  $59,035
                 : BLACKROCK GLOBAL ALLOCATION  [010233346-000] P  $8,706
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $219,069
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $158,809
                 : CAPITAL INCOME BUILDER  [010233346-000] P  $0
                 : CAPITAL WORLD BOND FUND  [010233346-000] P  $0
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $5,730
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $23,713
                 : DFA INTL SMALL CAP VALUE  [010233346-000] P  $5,565
                 : DFA US TARGETED VALUE FUND  [010233346-000] P  $7,029
                 : DODGE & COX STOCK FUND  [010233346-000] P  $11,232
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $0
                 : FIDELITY ADV DIVERSIFIED STOCK  [010233346-000] P  $228,871
                 : FIDELITY ADV NEW INSIGHTS  [010233346-000] P  $4,423
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $116,661
                 : FIDELITY CONTRAFUND  [010233346-000] P  $1,040,436
                 : FLOATING RATE INCOME FUND  [010233346-000] P  $22,873
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $76,398
                 : FUNDAMENTAL ALL CAP CORE FUND  [010233346-000] P  $21,880
                 : FUNDAMENTAL INVESTORS  [010233346-000] P  $0
                 : HIGH YIELD FUND  [010233346-000] P  $4,636
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $35,421
                 : INVESCO GLOBAL FUND  [010233346-000] P  $24,838
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $126,052
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $787
                 : ISHARES MSCI EAFE GROWTH ETF  [010233346-000] P  $98,023
                 : ISHARES MSCI EAFE VALUE ETF  [010233346-000] P  $21,464
                 : JH DISCIPLINED VALUE MID CAP  [010233346-000] P  $79,050
                 : JH MULTI-INDEX 2030 PRESERV  [010233346-000] P  $192,962
                 : JH MULTI-INDEX 2040 PRESERV  [010233346-000] P  $691,174
                 : JH MULTI-INDEX 2045 PRESERV  [010233346-000] P  $262,502
                 : JH MULTI-INDEX 2055 PRESERV  [010233346-000] P  $82,760
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $193,117
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $27,916
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $486,122
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $53,994
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $82,635
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $153,290
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $4,406
                 : JH MULTIMANAGER 2065 LIFETIME  [010233346-000] P  $1,306
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $1,939,860
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $6,280,754
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $4,564
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $2,361,840
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $814,319
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $34,140
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $54,741
                 : JOHN HANCOCK MID CAP GROWTH  [010233346-000] P  $3,642
                 : JOHN HANCOCK U.S. GROWTH FUND  [010233346-000] P  $19,764
                 : JPMORGAN CORE BOND FUND  [010233346-000] P  $37,719
                 : JPMORGAN LARGE CAP GROWTH  [010233346-000] P  $61,250
                 : JPMORGAN MIDCAP VALUE FUND  [010233346-000] P  $412,919
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $19,792
                 : LORD ABBETT SHORT DURATION INC  [010233346-000] P  $6,442
                 : MFS UTILITIES FUND  [010233346-000] P  $12,828
                 : MFS VALUE FUND  [010233346-000] P  $6,713
                 : MID CAP INDEX FUND  [010233346-000] P  $29,244
                 : MID CAP STOCK FUND  [010233346-000] P  $0
                 : MID VALUE FUND  [010233346-000] P  $3,279
                 : MONEY MARKET FUND  [010233346-000] P  $64,247
                 : NEW WORLD FUND  [010233346-000] P  $0
                 : PARNASSUS CORE EQUITY FUND  [010233346-000] P  $4,875
                 : PAX SUSTAINABLE ALLOCATION  [010233346-000] P  $5,046
                 : PIMCO ALL ASSET  [010233346-000] P  $5,478
                 : PIMCO COMMODITY REAL RETURN  [010233346-000] P  $6,781
                 : PIMCO REAL RETURN  [010233346-000] P  $6,536
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $84,494
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $11,949
                 : SMALL CAP INDEX FUND  [010233346-000] P  $23,436
                 : SMALL CAP STOCK FUND  [010233346-000] P  $3,499
                 : SMALLCAP WORLD FUND  [010233346-000] P  $0
                 : SPROTT GOLD EQUITY FUND  [010233346-000] P  $9,630
                 : SPROTT GOLD FUND  [010233346-000] P  $0
                 : T. ROWE PRICE EQUITY INC  [010233346-000] P  $16,488
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $409,872
                 : T. ROWE PRICE SHORT TERM BOND  [010233346-000] P  $16,453
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $754
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $0
                 : TOTAL BOND MARKET FUND  [010233346-000] P  $42,358
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $9,823
                 : US GOVERNMENT SECURITIES  [010233346-000] P  $0
                 : VANGUARD ENERGY FUND  [010233346-000] P  $22,709
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $28,905
                 : VANGUARD GROWTH INDEX FUND  [010233346-000] P  $1,222,417
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $102,532
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $404,027
                 : VANGUARD SHORT-TERM FEDERAL  [010233346-000] P  $3,046
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $236,584
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $27,097
                 : VANGUARD TOT WLD STK INDEX ETF  [010233346-000] P  $98,895
