FOOD INGREDIENTS, INC.  391551165 -- BusinessCode: 423400 -- WI : WAUKESHA
  [401(k)] FBH GROUP 401(K) PLAN [391551165-001]
    2023  [codes: 2E2J2K2F2G3D2T3H]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/10/10/20241010185147NAL0021635377001.pdf
        Participants: 53
        Available Investments:
           - JOHN HANCOCK USA
                 : 3-YEAR COMPOUND  [010233346-000] P  $102,722
                 : 500 INDEX FUND  [010233346-000] P  $319,698
                 : AMERICAN CENTURY EM FUND  [010233346-000] P  $43,256
                 : AMERICAN FUNDS EUROPAC GROWTH  [010233346-000] P  $20,146
                 : AMERICAN FUNDS NEW WORLD FUND  [010233346-000] P  $50,523
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $107,594
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $127,346
                 : DELAWARE SMALL CAP VALUE FUND  [010233346-000] P  $550,430
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $54,746
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $93,086
                 : DFA INTL SMALL COMPANY FUND  [010233346-000] P  $56,417
                 : DFA US LARGE CAP VALUE FUND  [010233346-000] P  $473,877
                 : EATON VANCE ATLANTA SMID-CAP  [010233346-000] P  $21,115
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $75,311
                 : FUNDAMENTAL LARGE CAP VALUE  [010233346-000] P  $502,318
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $100,992
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $71,701
                 : ISHARES GOLD TRUST ETF  [010233346-000] P  $612
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $102,565
                 : JH MULTIMANAGER 2010 LIFETIME  [010233346-000] P  $200,168
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $59,088
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $199,456
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $69,759
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $201,569
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $53,102
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $220,657
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $11,692
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $59,069
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $722,902
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $51,879
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $800,620
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $161,367
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $206,583
                 : JPMORGAN MIDCAP VALUE FUND  [010233346-000] P  $378,012
                 : MID CAP INDEX FUND  [010233346-000] P  $102,694
                 : MONEY MARKET FUND  [010233346-000] P  $53,326
                 : NORTHERN EM EQUITY INDEX FUND  [010233346-000] P  $32,298
                 : OPPORTUNISTIC FIXED INCOM  [010233346-000] P  $9,430
                 : PGIM QUANT SOLUTIONS MC VALUE  [010233346-000] P  $365,549
                 : PIMCO INVT GRADE CREDIT BOND  [010233346-000] P  $1,311,980
                 : PUTNAM LARGE CAP VALUE FUND  [010233346-000] P  $227,665
                 : ROYCE SMALL-CAP OPPORTUNITY  [010233346-000] P  $448,812
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $125,944
                 : TEMPLETON GLOBAL BOND FUND  [010233346-000] P  $533
                 : VANGUARD ENERGY FUND  [010233346-000] P  $95,733
                 : VANGUARD EQUITY-INCOME FUND  [010233346-000] P  $541,155
                 : VANGUARD INTERNATIONAL GROWTH  [010233346-000] P  $82,298
                 : VANGUARD MATERIALS INDEX FUND  [010233346-000] P  $574,959
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $28,339
           = SUBTOTAL       $     10,271,093
           = OTHER          $    -10,271,093
