FAGER MCGEE COMMERCIAL CONSTRUCTION, INC.  371200792 -- BusinessCode: 236200 -- IL : MURPHYSBORO
  [401(k)] FAGER MCGEE COMMERCIAL CONSTRUCTION, INC. PROFIT SHARING PLAN [371200792-001]
    2023  [codes: 2E2F2G2J2K2T3D3H]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/10/9/20241009145626NAL0038213906001.pdf
        Participants: 19
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $1,994
                 : AMERICAN CENTURY 2050  [010233346-000] P  $34,606
                 : AMERICAN FUNDS 2035 TD  [010233346-000] P  $476,978
                 : AMERICAN FUNDS 2050 TD  [010233346-000] P  $512,794
                 : AMERICAN FUNDS 2055 TD  [010233346-000] P  $22,413
                 : AMERICAN FUNDS 2060 TD  [010233346-000] P  $35,565
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $361,845
                 : DODGE & COX INTERNATIONAL ST  [010233346-000] P  $42,518
                 : FIDELITY ADV DIVERSIFIED STOCK  [010233346-000] P  $8,204
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $23,983
                 : FIDELITY CONTRAFUND  [010233346-000] P  $124,869
                 : INVESCO DEVELOPING MARKETS  [010233346-000] P  $116,210
                 : INVESCO INTERNATIONAL BOND  [010233346-000] P  $23,239
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $77,308
                 : ISHARES GOLD TRUST ETF  [010233346-000] P  $3,097
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $51,667
                 : JH MULTI-INDEX 2035 PRESERV  [010233346-000] P  $265,047
                 : JH MULTI-INDEX 2040 PRESERV  [010233346-000] P  $639
                 : JH MULTI-INDEX 2050 PRESERV  [010233346-000] P  $7,815
                 : JH MULTI-INDEX INCOME PRESERV  [010233346-000] P  $68,331
                 : JH MULTI-INDEX LS AGGRESSIVE  [010233346-000] P  $17,638
                 : JH MULTI-INDEX LS GROWTH  [010233346-000] P  $18,237
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $115,710
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $591,281
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $444,446
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $91,055
                 : JPMORGAN MIDCAP VALUE FUND  [010233346-000] P  $55,004
                 : MUTUAL GLOBAL DISCOVERY  [010233346-000] P  $40,206
                 : NEW WORLD FUND  [010233346-000] P  $50,284
                 : NORTHERN EM EQUITY INDEX FUND  [010233346-000] P  $71,329
                 : PARNASSUS CORE EQUITY FUND  [010233346-000] P  $110,147
                 : PGIM JENNISON MID CAP GROWTH  [010233346-000] P  $82,058
                 : PIMCO COMMODITY REAL RETURN  [010233346-000] P  $15,520
                 : PIMCO REAL RETURN  [010233346-000] P  $22,455
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $21,904
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $367,742
                 : SMALL CAP VALUE FUND  [010233346-000] P  $209
                 : SPROTT GOLD FUND  [010233346-000] P  $44,608
                 : T. ROWE PRICE CAP APPRECIATION  [010233346-000] P  $48,673
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $9,091
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $13,290
                 : T. ROWE PRICE RETIREMENT 2035  [010233346-000] P  $489,456
                 : T. ROWE PRICE RETIREMENT 2050  [010233346-000] P  $383,370
                 : T. ROWE PRICE RETIREMENT 2055  [010233346-000] P  $343,631
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $87,372
                 : TEMPLETON WORLD  [010233346-000] P  $40,022
                 : THE GROWTH FUND OF AMERICA  [010233346-000] P  $117,266
                 : VANGUARD TARGET RET 2045  [010233346-000] P  $2,884
           = SUBTOTAL       $      5,954,010
           = OTHER          $     -5,954,010
