NORTHWOODS SOFTWARE DEVELOPMENT, INC.  391915354 -- BusinessCode: 541511 -- WI : SHOREWOOD
  [401(k)] NORTHWOODS SOFTWARE DEVELOPMENT, INC. 401(K) PLAN [391915354-001]
    2019  [codes: 2E2J2K2F2G3D2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/5/11/20200511151903NAL0030145698001.pdf
        Participants: 54
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $160,362
                 : AB HIGH INCOME FUND  [010233346-000] P  $20,353
                 : AMERICAN BALANCED FUND  [010233346-000] P  $10,526
                 : AMERICAN FUNDS 2020 TD  [010233346-000] P  $16,949
                 : AMERICAN FUNDS 2025 TD  [010233346-000] P  $124,955
                 : AMERICAN FUNDS 2030 TD  [010233346-000] P  $15,785
                 : AMERICAN FUNDS 2035 TD  [010233346-000] P  $15,954
                 : AMERICAN FUNDS 2040 TD  [010233346-000] P  $225,059
                 : AMERICAN FUNDS 2045 TD  [010233346-000] P  $3,800
                 : AMERICAN FUNDS 2050 TD  [010233346-000] P  $9,106
                 : AMERICAN FUNDS 2055 TD  [010233346-000] P  $1,751
                 : AMERICAN FUNDS 2060 TD  [010233346-000] P  $2,549
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $84,635
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $64,134
                 : HARTFORD MIDCAP FUND  [010233346-000] P  $35,401
                 : INTERNATIONAL VALUE FUND  [010233346-000] P  $64,994
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $1,029
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $76,954
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $96,655
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $2,286,773
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $8,243
                 : JOHN HANCOCK BOND FUND  [010233346-000] P  $112,387
                 : RELIANCE METLIFE STABLE VALUE  [010233346-000] P  $14,052
                 : T. ROWE PRICE OVERSEAS STOCK  [010233346-000] P  $44,305
                 : TIAA-CREF LARGE-CAP GROWTH IDX  [010233346-000] P  $178,991
                 : VANGUARD VALUE INDEX FUND  [010233346-000] P  $208,459
                 : WISDOMTREE MC EARNINGS ETF  [010233346-000] P  $134,546
                 : WISDOMTREE MIDCAP DIVIDEND ETF  [010233346-000] P  $3,589
                 : WISDOMTREE SC DIVIDEND ETF  [010233346-000] P  $38,772
           = SUBTOTAL       $      4,061,068
           = OTHER          $     -4,061,068
