NEULION, INC.  980469479 -- BusinessCode: 511210 -- NY : PLAINVIEW
  [401(k)] NEULION 401(K) PLAN [980469479-001]
    2019  [codes: 2T2E2F2G2J2K2S3B3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014172117NAL0006963457001.pdf
        Participants: 301  Average: $68,751
        Assets: $20,694,096
        Contributions - employee: $   3,369 per participant
                      - employer: $   1,609 per participant
        Loans                   : $     420 per participant
        Service Providers:
           - WELLS FARGO CLEARING SERVICES LLC : $0  ADVISOR (Other commissions)
           - FIDELITY INVESTMENTS INSTITUTIONAL : $-11,239  RECORDKEEPER (Participant loan processing | Sub - transfer agency fees | Recordkeeping fees | Account maintenance fees)
        Service Fees:
           - FIDELITY INVESTMENTS INSTITUTIONAL : GS INFL-PRO SECS A - GOLDMAN SACHS   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : GS US EQ INS A - GOLDMAN SACHS & C   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : HTFD CORE EQUITY R4 - HARTFORD ADM   $0 | 0.20%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : I O INTL GROWTH A - INVESCO INVEST   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : IS S&P 500 IDX A - BNY MELLON INVE   $0 | 0.05%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : IVY ENERGY A - WI SERVICES COMPANY   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : J H GLB LIFE SCI S - JANUS SERVICE   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : J H GLOBAL RE S - JANUS SERVICES L   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JH MM LS AGGR R4 - JOHN HANCOCK SI   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JH MM LS CNSRV R4 - JOHN HANCOCK S   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JH MM LS GRTH R4 - JOHN HANCOCK SI   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JH MM LS MOD R4 - JOHN HANCOCK SIG   $0 | 0.10%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JHANCOCK BALANCED R2 - JOHN HANCOC   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM GRTH & INCOME A - DST ASSET MA   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET INC A - DST ASSET MA   $0 | 0.25%)
           - FIDELITY INVESTMENTS INSTITUTIONAL : JPM SMART RET 2020 A - DST ASSET M   $0 | 0.25%)
