CREATIVE PLAN DESIGNS, LTD.  112515970 -- BusinessCode: 541990 -- NY : EAST MEADOW
  [401(k)] CREATIVE PLAN DESIGNS, LTD. 401K PROFIT SHARING PLAN [112515970-001]
    2023  [codes: 2A2E2F2G2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/6/27/20240627100440NAL0014141856001.pdf
        Participants: 36
        Available Investments:
           - JOHN HANCOCK LIFE INS CO OF NY
                 : 500 INDEX FUND  [133646501-000] P  $73,794
                 : AF AMERICAN BALANCED FUND  [133646501-000] P  $191,098
                 : AMERICAN FUNDS EUROPAC GROWTH  [133646501-000] P  $26,655
                 : BLACKROCK HIGH YIELD BOND FUND  [133646501-000] P  $110,120
                 : BLUE CHIP GROWTH FUND  [133646501-000] P  $14,464
                 : CAPITAL APPRECIATION FUND  [133646501-000] P  $12,971
                 : DFA INTERNATIONAL VALUE  [133646501-000] P  $56,472
                 : DFA U.S. SMALL CAP FUND  [133646501-000] P  $14,833
                 : DFA US TARGETED VALUE FUND  [133646501-000] P  $15,251
                 : EQUITY INCOME FUND  [133646501-000] P  $120,813
                 : FIDELITY ADVISOR TOTAL BOND  [133646501-000] P  $57,831
                 : FRANKLIN MUTUAL FUND  [133646501-000] P  $142
                 : FRANKLIN SMALL-MID GROWTH  [133646501-000] P  $81,459
                 : FUNDAMENTAL ALL CAP CORE FUND  [133646501-000] P  $3,240
                 : INVESCO DEVELOPING MARKETS  [133646501-000] P  $17,135
                 : INVESCO INTERNATIONAL BOND  [133646501-000] P  $9,482
                 : JH INTL GROWTH  [133646501-000] P  $16,889
                 : JH MID CAP GROWTH  [133646501-000] P  $7,905
                 : JH MULTIMANAGER 2025 LIFETIME  [133646501-000] P  $127,135
                 : JH MULTIMANAGER 2030 LIFETIME  [133646501-000] P  $693,495
                 : JH MULTIMANAGER 2040 LIFETIME  [133646501-000] P  $136,278
                 : JH MULTIMANAGER 2045 LIFETIME  [133646501-000] P  $3,419
                 : JH MULTIMANAGER 2060 LIFETIME  [133646501-000] P  $73,007
                 : JH MULTIMANAGER BALANCED LS  [133646501-000] P  $57,319
                 : JH MULTIMANAGER CONSER LS  [133646501-000] P  $46,811
                 : JH MULTIMANAGER GROWTH LS  [133646501-000] P  $54,438
                 : JH MULTIMANAGER MODERATE LS  [133646501-000] P  $166,325
                 : JH U.S. GROWTH FUND  [133646501-000] P  $3,268
                 : JOHN HANCOCK BOND FUND  [133646501-000] P  $115,678
                 : JP MORGAN U.S. EQUITY FUND  [133646501-000] P  $37,114
                 : MID CAP INDEX FUND  [133646501-000] P  $51,089
                 : MID VALUE FUND  [133646501-000] P  $47,706
                 : MONEY MARKET FUND  [133646501-000] P  $15,506
                 : OPPORTUNISTIC FIXED INCOME  [133646501-000] P  $535
                 : PIMCO REAL RETURN  [133646501-000] P  $66,559
                 : SMALL CAP INDEX FUND  [133646501-000] P  $39,780
                 : STRATEGIC INCOME OPP FUND  [133646501-000] P  $401
                 : T. ROWE PRICE OVERSEAS STOCK  [133646501-000] P  $23,003
                 : T. ROWE PRICE SML CAP  [133646501-000] P  $811
                 : T. ROWE PRICE SPECTRUM INC  [133646501-000] P  $1,850
                 : TOTAL BOND MARKET FUND  [133646501-000] P  $201,099
                 : VANGAURD SMALL CAP VALUE INDEX  [133646501-000] P  $119,344
                 : VANGAURD VALUE INDEX FUND  [133646501-000] P  $262,436
                 : VANGUARD GROWTH INDEX FUND  [133646501-000] P  $436,341
                 : VANGUARD MID-CAP GROWTH ETF  [133646501-000] P  $2,060
                 : VANGUARD MID-CAP VALUE ETF  [133646501-000] P  $84,638
                 : VANGUARD SHORT- TERM FEDERAL  [133646501-000] P  $81,047
                 : VANGUARD SMALL CAP GROW INDEX  [133646501-000] P  $20,265
                 : WASHINGTON MUTUAL INVESTORS  [133646501-000] P  $566
           = SUBTOTAL       $      3,799,877
           = OTHER          $     -3,799,877
