COZAD ASSET MANAGEMENT INC  370958133 -- BusinessCode: 523900 -- IL : CHAMPAIGN
  [401(k)] COZAD ASSET MANAGEMENT INC PROFIT SHARING PLAN [370958133-001]
    2018  [codes: 2E2F2H2J2K2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2019/2/5/20190205142529P030001862437001.pdf
        Participants: 38
        Available Investments:
           - JOHN HANCOCK USA
                 : 500 INDEX FUND  [010233346-000] P  $55,571
                 : AMERICAN BALANCED FUND  [010233346-000] P  $66,365
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $45,686
                 : BLUE CHIP GROWTH FUND  [010233346-000] P  $283,052
                 : CAPITAL APPRECIATION FUND  [010233346-000] P  $29,846
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $3,406
                 : DFA INTERNATIONAL VALUE  [010233346-000] P  $48,138
                 : DFA U.S. SMALL CAP FUND  [010233346-000] P  $99,431
                 : EUROPACIFIC GROWTH FUND  [010233346-000] P  $891
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $75,481
                 : FUNDAMENTAL ALL CAP CORE FUND  [010233346-000] P  $3,832
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $50,918
                 : INVESCO SMALL CAP GROWTH  [010233346-000] P  $96,741
                 : INVESTMENT COMPANY OF AMERICA  [010233346-000] P  $1,170
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $109,670
                 : JH MULTIMANAGER 2025 LIFETIME  [010233346-000] P  $342,433
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $97,055
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $38,446
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $4,642
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $38,979
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $11,460
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $169,962
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $490,784
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $215,516
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $126,138
                 : JOHN HANCOCK INTL GROWTH  [010233346-000] P  $67,103
                 : LIFESTYLE BALANCED G.I.F.L.  [010233346-000] P  $4,629,804
                 : LIFESTYLE GROWTH G.I.F.L.  [010233346-000] P  $2,185,700
                 : LIFESTYLE MODERATE G.I.F.L.  [010233346-000] P  $224,666
                 : MID CAP INDEX FUND  [010233346-000] P  $858
                 : MID CAP STOCK FUND  [010233346-000] P  $97,164
                 : MID VALUE FUND  [010233346-000] P  $51,779
                 : NEW OPPORTUNITIES FUND  [010233346-000] P  $2,738
                 : NEW PERSPECTIVE FUND  [010233346-000] P  $64,228
                 : NEW WORLD FUND  [010233346-000] P  $39,867
                 : OPPENHEIMER GLOBAL  [010233346-000] P  $59,370
                 : REAL EST. SECURITIES FUND  [010233346-000] P  $10,036
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $67,403
                 : T. ROWE PRICE NEW ERA FUND  [010233346-000] P  $94,444
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $75,932
                 : T. ROWE PRICE SML CAP VAL  [010233346-000] P  $854
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $27,757
                 : US GOVERNMENT SECURITIES  [010233346-000] P  $8,164
                 : VANGUARD ENERGY FUND  [010233346-000] P  $90,206
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $43,476
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $6,543
                 : VANGUARD SMALL CAP VALUE INDEX  [010233346-000] P  $52,031
                 : WASHINGTON MUTUAL INVESTORS  [010233346-000] P  $78,371
           = SUBTOTAL       $     10,484,107
           = OTHER          $    -10,484,107
