COMMUNITY REALTY MANAGEMENT  222047188 -- BusinessCode: 531310 -- PA : SANATOGA
  [401(k)] COMMUNITY REALTY MANAGEMENT 401(K) PLAN [222047188-002]
    2021  [codes: 2A2E2F2G2J2T3D]    https://efast2-filings-public.s3.amazonaws.com/prd/2022/10/5/20221005094744NAL0015274368001.pdf
        Participants: 391  Average: $19,339
        Assets: $7,561,736
        Contributions - employee: $     646 per participant
                      - employer: $   1,136 per participant
        Loans                   : $         per participant
        Available Investments:
           - JOHN HANCOCK LIFE INSURANCE COMPANY
                 : 500 INDEX FUND  [010233346-000] P  $86,107
                 : AMERICAN BALANCED FUND  [010233346-000] P  $58,298
                 : AMERICAN CENTURY HERITAGE  [010233346-000] P  $121,300
                 : CLEARBRIDGE AGGRESSIVE GROWTH  [010233346-000] P  $62,078
                 : DFA EMERGING MARKETS VALUE  [010233346-000] P  $9,543
                 : FIDELITY ADVISOR TOTAL BOND  [010233346-000] P  $15,162
                 : FINANCIAL INDUSTRIES FUND  [010233346-000] P  $214
                 : FRANKLIN SMALL-MID GROWTH  [010233346-000] P  $121
                 : HIGH YIELD FUND  [010233346-000] P  $21,992
                 : INTL EQUITY INDEX FUND  [010233346-000] P  $50,810
                 : INVESCO GLOBAL FUND  [010233346-000] P  $7,336
                 : JH DISCIPLINED VALUE INTL FUND  [010233346-000] P  $5,349
                 : JH MULTIMANAGER 2010 LIFETIME  [010233346-000] P  $120,176
                 : JH MULTIMANAGER 2015 LIFETIME  [010233346-000] P  $59,009
                 : JH MULTIMANAGER 2020 LIFETIME  [010233346-000] P  $186,311
                 : JH MULTIMANAGER 2025 LIFETIME  [010233346-000] P  $755,328
                 : JH MULTIMANAGER 2030 LIFETIME  [010233346-000] P  $805,918
                 : JH MULTIMANAGER 2035 LIFETIME  [010233346-000] P  $836,078
                 : JH MULTIMANAGER 2040 LIFETIME  [010233346-000] P  $342,182
                 : JH MULTIMANAGER 2045 LIFETIME  [010233346-000] P  $288,148
                 : JH MULTIMANAGER 2050 LIFETIME  [010233346-000] P  $185,680
                 : JH MULTIMANAGER 2055 LIFETIME  [010233346-000] P  $67,727
                 : JH MULTIMANAGER 2060 LIFETIME  [010233346-000] P  $41,254
                 : JH MULTIMANAGER 2065 LIFETIME  [010233346-000] P  $3,038
                 : JH MULTIMANAGER AGGRESSIVE LS  [010233346-000] P  $12,220
                 : JH MULTIMANAGER BALANCED LS  [010233346-000] P  $1,162,226
                 : JH MULTIMANAGER CONSERV LS  [010233346-000] P  $272,258
                 : JH MULTIMANAGER GROWTH LS  [010233346-000] P  $983,966
                 : JH MULTIMANAGER MODERATE LS  [010233346-000] P  $77,616
                 : JOHN HANCOCK DISCIPLINED VALUE  [010233346-000] P  $113
                 : JOHN HANCOCK INTL GROWTH  [010233346-000] P  $11,366
                 : JOHN HANCOCK MID CAP GROWTH  [010233346-000] P  $28,216
                 : JOHN HANCOCK STABLE VAL  [010233346-000] P  $328,061
                 : JPMORGAN U.S. EQUITY FUND  [010233346-000] P  $1
                 : MFS UTILITIES FUND  [010233346-000] P  $8
                 : MID VALUE FUND  [010233346-000] P  $19,226
                 : OPPORTUNISTIC FIXED INCOME  [010233346-000] P  $52
                 : SCIENCE & TECHNOLOGY FUND  [010233346-000] P  $91,700
                 : SMALL CAP INDEX FUND  [010233346-000] P  $76,107
                 : T. ROWE PRICE HEALTH SCI  [010233346-000] P  $20,961
                 : T. ROWE PRICE SCI & TECH  [010233346-000] P  $191,880
                 : T. ROWE PRICE SPECTRUM INC  [010233346-000] P  $8
                 : TEMPLETON WORLD  [010233346-000] P  $14,107
                 : TOTAL STOCK MARKET INDEX FUND  [010233346-000] P  $11,618
                 : VANGUARD EXPLORER FUND  [010233346-000] P  $16,301
                 : VANGUARD GROWTH INDEX FUND  [010233346-000] P  $235
                 : VANGUARD MID-CAP GROWTH ETF  [010233346-000] P  $21,073
                 : VANGUARD MID-CAP VALUE ETF  [010233346-000] P  $7,982
                 : VANGUARD SMALL CAP GROW INDEX  [010233346-000] P  $23,163
                 : VANGUARD VALUE INDEX FUND  [010233346-000] P  $17,967
           = SUBTOTAL       $      7,517,590
           = OTHER          $         44,146
 -- NJ : PLEASANTVILLE
